날짜,유입채널,디바이스,유입,상세조회,장바구니,결제시작,결제완료
2026-07-07,메타광고,모바일,233,91,4,1,1
2026-07-07,메타광고,PC,68,26,2,1,0
2026-07-07,인스타,모바일,127,43,1,0,0
2026-07-07,인스타,PC,39,13,1,0,0
2026-07-08,자연검색,모바일,182,81,4,1,1
2026-07-08,자연검색,PC,48,21,2,1,0
2026-07-08,유료검색,모바일,234,95,4,1,1
2026-07-08,유료검색,PC,59,24,2,1,0
2026-07-08,메타광고,모바일,206,80,3,1,1
2026-07-08,메타광고,PC,60,23,2,0,0
2026-07-08,인스타,모바일,104,36,1,0,0
2026-07-08,인스타,PC,29,10,0,0,0
2026-07-09,자연검색,모바일,197,87,4,1,1
2026-07-09,자연검색,PC,59,26,2,1,0
2026-07-09,유료검색,모바일,268,108,5,2,1
2026-07-09,유료검색,PC,74,30,2,1,0
2026-07-09,메타광고,모바일,242,94,4,1,1
2026-07-09,메타광고,PC,75,29,2,1,0
2026-07-09,인스타,모바일,126,43,1,0,0
2026-07-09,인스타,PC,39,13,1,0,0
2026-07-10,자연검색,모바일,209,93,5,2,1
2026-07-10,자연검색,PC,54,24,2,1,0
2026-07-10,유료검색,모바일,234,95,4,1,1
2026-07-10,유료검색,PC,73,29,2,1,0
2026-07-10,메타광고,모바일,240,93,4,1,1
2026-07-10,메타광고,PC,74,29,2,1,0
2026-07-10,인스타,모바일,135,46,1,0,0
2026-07-10,인스타,PC,32,11,1,0,0
2026-07-11,자연검색,모바일,191,85,4,1,1
2026-07-11,자연검색,PC,55,24,2,1,0
2026-07-11,유료검색,모바일,249,101,5,2,1
2026-07-11,유료검색,PC,75,31,2,1,1
2026-07-11,메타광고,모바일,263,102,4,1,1
2026-07-11,메타광고,PC,65,25,2,1,0
2026-07-11,인스타,모바일,130,44,1,0,0
2026-07-11,인스타,PC,35,12,1,0,0
2026-07-12,자연검색,모바일,230,102,5,2,1
2026-07-12,자연검색,PC,63,28,2,1,0
2026-07-12,유료검색,모바일,331,134,6,2,1
2026-07-12,유료검색,PC,88,36,3,1,1
2026-07-12,메타광고,모바일,284,110,5,2,1
2026-07-12,메타광고,PC,85,33,2,1,0
2026-07-12,인스타,모바일,153,52,2,1,0
2026-07-12,인스타,PC,40,14,1,0,0
2026-07-13,자연검색,모바일,190,84,4,1,1
2026-07-13,자연검색,PC,52,23,2,1,0
2026-07-13,유료검색,모바일,210,85,4,1,1
2026-07-13,유료검색,PC,58,23,2,1,0
2026-07-13,메타광고,모바일,212,83,3,1,1
2026-07-13,메타광고,PC,63,24,2,1,0
2026-07-13,인스타,모바일,114,39,1,0,0
2026-07-13,인스타,PC,28,10,0,0,0
2026-07-14,자연검색,모바일,175,78,4,1,1
2026-07-14,자연검색,PC,55,24,2,1,0
2026-07-14,유료검색,모바일,219,89,4,1,1
2026-07-14,유료검색,PC,68,28,2,1,0
2026-07-14,메타광고,모바일,249,97,4,1,1
2026-07-14,메타광고,PC,66,26,2,1,0
2026-07-14,인스타,모바일,111,38,1,0,0
2026-07-14,인스타,PC,32,11,1,0,0
2026-07-15,자연검색,모바일,165,73,4,1,1
2026-07-15,자연검색,PC,46,20,2,1,0
2026-07-15,유료검색,모바일,234,95,4,1,1
2026-07-15,유료검색,PC,58,23,2,1,0
2026-07-15,메타광고,모바일,220,85,4,1,1
2026-07-15,메타광고,PC,65,25,2,1,0
2026-07-15,인스타,모바일,118,40,1,0,0
2026-07-15,인스타,PC,28,10,0,0,0
2026-07-16,자연검색,모바일,207,92,5,2,1
2026-07-16,자연검색,PC,55,24,2,1,0
2026-07-16,유료검색,모바일,290,117,5,2,1
2026-07-16,유료검색,PC,73,30,2,1,0
2026-07-16,메타광고,모바일,279,108,4,1,1
2026-07-16,메타광고,PC,77,30,2,1,0
2026-07-16,인스타,모바일,128,44,1,0,0
2026-07-16,인스타,PC,34,12,1,0,0
2026-07-17,자연검색,모바일,215,95,5,2,1
2026-07-17,자연검색,PC,56,25,2,1,0
2026-07-17,유료검색,모바일,262,106,5,2,1
2026-07-17,유료검색,PC,76,31,2,1,1
2026-07-17,메타광고,모바일,232,90,4,1,1
2026-07-17,메타광고,PC,66,26,2,1,0
2026-07-17,인스타,모바일,131,45,1,0,0
2026-07-17,인스타,PC,34,11,1,0,0
2026-07-18,자연검색,모바일,214,95,5,2,1
2026-07-18,자연검색,PC,59,26,2,1,0
2026-07-18,유료검색,모바일,270,109,5,2,1
2026-07-18,유료검색,PC,79,32,2,1,1
2026-07-18,메타광고,모바일,291,113,5,2,1
2026-07-18,메타광고,PC,74,29,2,1,0
2026-07-18,인스타,모바일,130,44,1,0,0
2026-07-18,인스타,PC,39,13,1,0,0
2026-07-19,자연검색,모바일,214,95,5,2,1
2026-07-19,자연검색,PC,57,25,2,1,0
2026-07-19,유료검색,모바일,268,109,5,2,1
2026-07-19,유료검색,PC,67,27,2,1,0
2026-07-19,메타광고,모바일,251,97,4,1,1
2026-07-19,메타광고,PC,71,28,2,1,0
2026-07-19,인스타,모바일,126,43,1,0,0
2026-07-19,인스타,PC,33,11,1,0,0
2026-07-20,자연검색,모바일,179,80,4,1,1
2026-07-20,자연검색,PC,47,21,2,1,0
2026-07-20,유료검색,모바일,216,87,4,1,1
2026-07-20,유료검색,PC,69,28,2,1,0
2026-07-20,메타광고,모바일,204,80,3,1,1
2026-07-20,메타광고,PC,64,25,2,1,0
2026-07-20,인스타,모바일,107,36,1,0,0
2026-07-20,인스타,PC,34,12,1,0,0
2026-07-21,자연검색,모바일,166,74,4,1,1
2026-07-21,자연검색,PC,55,24,2,1,0
2026-07-21,유료검색,모바일,231,93,4,1,1
2026-07-21,유료검색,PC,60,24,2,1,0
2026-07-21,메타광고,모바일,215,84,3,1,1
2026-07-21,메타광고,PC,59,23,2,0,0
2026-07-21,인스타,모바일,109,37,1,0,0
2026-07-21,인스타,PC,35,12,1,0,0
2026-07-22,자연검색,모바일,188,83,4,1,1
2026-07-22,자연검색,PC,51,23,2,1,0
2026-07-22,유료검색,모바일,229,93,4,1,1
2026-07-22,유료검색,PC,65,26,2,1,0
2026-07-22,메타광고,모바일,212,83,3,1,1
2026-07-22,메타광고,PC,68,26,2,1,0
2026-07-22,인스타,모바일,109,37,1,0,0
2026-07-22,인스타,PC,34,12,1,0,0
2026-07-23,자연검색,모바일,187,83,4,1,1
2026-07-23,자연검색,PC,48,21,2,1,0
2026-07-23,유료검색,모바일,231,94,4,1,1
2026-07-23,유료검색,PC,58,24,2,1,0
2026-07-23,메타광고,모바일,220,85,4,1,1
2026-07-23,메타광고,PC,59,23,1,0,0
2026-07-23,인스타,모바일,110,38,1,0,0
2026-07-23,인스타,PC,33,11,1,0,0
2026-07-24,자연검색,모바일,205,91,4,1,1
2026-07-24,자연검색,PC,53,24,2,1,0
2026-07-24,유료검색,모바일,255,103,5,2,1
2026-07-24,유료검색,PC,71,29,2,1,0
2026-07-24,메타광고,모바일,220,85,4,1,1
2026-07-24,메타광고,PC,73,29,2,1,0
2026-07-24,인스타,모바일,109,37,1,0,0
2026-07-24,인스타,PC,32,11,1,0,0
2026-07-25,자연검색,모바일,234,104,5,2,1
2026-07-25,자연검색,PC,65,29,2,1,1
2026-07-25,유료검색,모바일,251,101,5,2,1
2026-07-25,유료검색,PC,73,29,2,1,0
2026-07-25,메타광고,모바일,291,113,5,2,1
2026-07-25,메타광고,PC,82,32,2,1,0
2026-07-25,인스타,모바일,122,42,1,0,0
2026-07-25,인스타,PC,36,12,1,0,0
2026-07-26,자연검색,모바일,214,95,5,2,1
2026-07-26,자연검색,PC,66,29,2,1,1
2026-07-26,유료검색,모바일,273,110,5,2,1
2026-07-26,유료검색,PC,73,30,2,1,0
2026-07-26,메타광고,모바일,242,94,4,1,1
2026-07-26,메타광고,PC,82,32,2,1,0
2026-07-26,인스타,모바일,143,49,2,0,0
2026-07-26,인스타,PC,39,13,1,0,0
2026-07-27,자연검색,모바일,208,93,5,2,1
2026-07-27,자연검색,PC,58,26,2,1,0
2026-07-27,유료검색,모바일,261,106,5,2,1
2026-07-27,유료검색,PC,74,30,2,1,0
2026-07-27,메타광고,모바일,227,88,4,1,1
2026-07-27,메타광고,PC,68,26,2,1,0
2026-07-27,인스타,모바일,125,43,1,0,0
2026-07-27,인스타,PC,37,13,1,0,0
2026-07-28,자연검색,모바일,186,83,4,1,1
2026-07-28,자연검색,PC,50,22,2,1,0
2026-07-28,유료검색,모바일,239,97,4,1,1
2026-07-28,유료검색,PC,69,28,2,1,0
2026-07-28,메타광고,모바일,223,87,4,1,1
2026-07-28,메타광고,PC,59,23,1,0,0
2026-07-28,인스타,모바일,109,37,1,0,0
2026-07-28,인스타,PC,35,12,1,0,0
2026-07-29,자연검색,모바일,163,72,4,1,1
2026-07-29,자연검색,PC,54,24,2,1,0
2026-07-29,유료검색,모바일,245,99,4,2,1
2026-07-29,유료검색,PC,69,28,2,1,0
2026-07-29,메타광고,모바일,239,93,4,1,1
2026-07-29,메타광고,PC,62,24,2,1,0
2026-07-29,인스타,모바일,110,38,1,0,0
2026-07-29,인스타,PC,34,12,1,0,0
2026-07-30,자연검색,모바일,173,77,4,1,1
2026-07-30,자연검색,PC,48,21,2,1,0
2026-07-30,유료검색,모바일,226,91,4,1,1
2026-07-30,유료검색,PC,59,24,2,1,0
2026-07-30,메타광고,모바일,211,82,3,1,1
2026-07-30,메타광고,PC,61,24,2,1,0
2026-07-30,인스타,모바일,114,39,1,0,0
2026-07-30,인스타,PC,29,10,0,0,0
