고객ID,구매 회차,구매일,제품,결제금액,채널
C0070,1,2026-03-13,진정 크림,39000,자사몰
C0071,1,2026-05-06,클렌징 밤,42000,쿠팡
C0071,2,2026-07-13,수분 세럼,67000,쿠팡
C0072,1,2026-04-25,진정 크림,67000,쿠팡
C0073,1,2026-03-23,진정 크림,67000,스마트스토어
C0074,1,2026-05-17,클렌징 밤,28000,자사몰
C0075,1,2026-06-02,클렌징 밤,28000,스마트스토어
C0076,1,2026-06-30,진정 크림,42000,자사몰
C0077,1,2026-07-11,클렌징 밤,81000,쿠팡
C0078,1,2026-02-17,클렌징 밤,39000,스마트스토어
C0079,1,2026-08-21,진정 크림,28000,자사몰
C0080,1,2026-03-10,클렌징 밤,39000,쿠팡
C0080,2,2026-04-18,진정 크림,39000,쿠팡
C0080,3,2026-06-04,진정 크림,67000,쿠팡
C0081,1,2026-07-16,수분 세럼,28000,자사몰
C0082,1,2026-04-29,진정 크림,67000,스마트스토어
C0082,2,2026-07-06,클렌징 밤,42000,자사몰
C0083,1,2026-01-25,수분 세럼,67000,스마트스토어
C0084,1,2026-02-12,수분 세럼,42000,쿠팡
C0084,2,2026-04-11,수분 세럼,67000,자사몰
C0084,3,2026-05-11,클렌징 밤,81000,자사몰
C0085,1,2026-02-18,수분 세럼,39000,스마트스토어
C0086,1,2026-06-25,클렌징 밤,39000,자사몰
C0087,1,2026-01-13,진정 크림,42000,스마트스토어
C0088,1,2026-01-13,수분 세럼,81000,스마트스토어
C0088,2,2026-05-07,클렌징 밤,67000,스마트스토어
C0089,1,2026-03-16,진정 크림,28000,스마트스토어
C0090,1,2026-03-31,수분 세럼,28000,쿠팡
C0090,2,2026-05-24,클렌징 밤,67000,스마트스토어
C0091,1,2026-02-07,수분 세럼,28000,자사몰
C0091,2,2026-05-10,클렌징 밤,42000,쿠팡
C0092,1,2026-04-01,클렌징 밤,67000,자사몰
C0092,2,2026-07-10,진정 크림,39000,쿠팡
C0093,1,2026-02-19,수분 세럼,28000,자사몰
C0093,2,2026-06-11,진정 크림,39000,쿠팡
C0094,1,2026-08-15,수분 세럼,28000,자사몰
C0095,1,2026-05-30,클렌징 밤,67000,쿠팡
C0096,1,2026-02-26,수분 세럼,81000,자사몰
C0097,1,2026-04-20,진정 크림,81000,스마트스토어
C0098,1,2026-05-12,수분 세럼,28000,스마트스토어
C0099,1,2026-02-24,수분 세럼,39000,스마트스토어
C0099,2,2026-07-08,클렌징 밤,28000,자사몰
C0100,1,2026-04-10,수분 세럼,39000,자사몰
C0101,1,2026-03-30,수분 세럼,42000,자사몰
C0102,1,2026-06-27,수분 세럼,67000,스마트스토어
C0102,2,2026-08-23,수분 세럼,81000,스마트스토어
C0103,1,2026-02-22,수분 세럼,67000,스마트스토어
C0104,1,2026-01-03,클렌징 밤,39000,스마트스토어
C0105,1,2026-05-16,클렌징 밤,67000,스마트스토어
C0105,2,2026-08-26,진정 크림,81000,쿠팡
C0106,1,2026-01-19,클렌징 밤,39000,쿠팡
C0106,2,2026-06-09,수분 세럼,42000,자사몰
C0106,3,2026-08-16,수분 세럼,42000,스마트스토어
C0107,1,2026-04-04,수분 세럼,39000,자사몰
C0107,2,2026-08-07,클렌징 밤,39000,자사몰
C0108,1,2026-08-20,클렌징 밤,67000,쿠팡
C0109,1,2026-08-02,클렌징 밤,42000,쿠팡
C0110,1,2026-02-16,클렌징 밤,39000,자사몰
C0111,1,2026-08-01,수분 세럼,67000,자사몰
C0112,1,2026-05-04,클렌징 밤,39000,자사몰
C0112,2,2026-07-24,진정 크림,39000,자사몰
C0112,3,2026-08-23,클렌징 밤,39000,자사몰
C0113,1,2026-08-17,진정 크림,42000,쿠팡
C0114,1,2026-02-03,진정 크림,28000,쿠팡
C0115,1,2026-03-05,진정 크림,81000,쿠팡
C0116,1,2026-08-24,클렌징 밤,42000,쿠팡
C0117,1,2026-08-19,진정 크림,67000,자사몰
C0118,1,2026-08-23,수분 세럼,67000,자사몰
C0119,1,2026-04-09,수분 세럼,67000,스마트스토어
C0120,1,2026-06-19,진정 크림,39000,쿠팡
C0121,1,2026-08-22,수분 세럼,28000,쿠팡
C0122,1,2026-01-23,클렌징 밤,39000,쿠팡
C0122,2,2026-02-25,수분 세럼,81000,쿠팡
C0123,1,2026-06-10,클렌징 밤,81000,쿠팡
C0124,1,2026-01-16,수분 세럼,28000,자사몰
C0124,2,2026-04-28,수분 세럼,81000,자사몰
C0124,3,2026-06-19,클렌징 밤,28000,쿠팡
C0125,1,2026-01-10,진정 크림,67000,쿠팡
C0126,1,2026-03-13,수분 세럼,28000,스마트스토어
C0126,2,2026-05-07,클렌징 밤,28000,쿠팡
C0126,3,2026-08-06,진정 크림,81000,스마트스토어
C0127,1,2026-08-26,수분 세럼,39000,스마트스토어
C0128,1,2026-04-30,수분 세럼,39000,자사몰
C0129,1,2026-04-02,진정 크림,28000,쿠팡
C0130,1,2026-05-29,진정 크림,81000,쿠팡
C0131,1,2026-05-03,클렌징 밤,39000,스마트스토어
C0132,1,2026-07-12,진정 크림,39000,쿠팡
C0133,1,2026-08-04,진정 크림,42000,쿠팡
C0134,1,2026-07-10,수분 세럼,81000,쿠팡
C0135,1,2026-02-15,수분 세럼,67000,쿠팡
C0135,2,2026-07-12,수분 세럼,28000,스마트스토어
C0136,1,2026-01-25,수분 세럼,42000,쿠팡
C0136,2,2026-06-02,클렌징 밤,39000,스마트스토어
C0137,1,2026-01-01,진정 크림,67000,자사몰
C0138,1,2026-01-29,수분 세럼,81000,쿠팡
C0139,1,2026-04-03,수분 세럼,67000,쿠팡
C0139,2,2026-05-10,수분 세럼,39000,쿠팡
C0139,3,2026-08-04,수분 세럼,28000,쿠팡
C0140,1,2026-01-07,수분 세럼,81000,자사몰
C0141,1,2026-03-29,수분 세럼,28000,쿠팡
C0141,2,2026-06-26,진정 크림,42000,자사몰
C0142,1,2026-03-07,진정 크림,67000,자사몰
C0143,1,2026-01-25,수분 세럼,28000,자사몰
C0143,2,2026-04-14,진정 크림,42000,쿠팡
C0143,3,2026-06-14,클렌징 밤,42000,자사몰
C0144,1,2026-06-23,수분 세럼,81000,쿠팡
C0145,1,2026-04-27,클렌징 밤,28000,스마트스토어
C0146,1,2026-05-07,클렌징 밤,81000,자사몰
C0147,1,2026-08-02,클렌징 밤,81000,자사몰
C0148,1,2026-08-04,진정 크림,67000,스마트스토어
C0149,1,2026-08-06,수분 세럼,28000,쿠팡
C0150,1,2026-02-27,클렌징 밤,28000,쿠팡
C0151,1,2026-08-08,진정 크림,67000,스마트스토어
C0152,1,2026-06-22,클렌징 밤,42000,스마트스토어
C0152,2,2026-07-30,수분 세럼,42000,쿠팡
C0153,1,2026-07-01,클렌징 밤,39000,자사몰
C0154,1,2026-05-12,진정 크림,42000,스마트스토어
C0155,1,2026-03-23,수분 세럼,39000,자사몰
C0156,1,2026-07-29,진정 크림,42000,쿠팡
C0157,1,2026-08-21,수분 세럼,28000,스마트스토어
C0158,1,2026-03-14,진정 크림,42000,쿠팡
C0159,1,2026-03-14,클렌징 밤,28000,스마트스토어
C0160,1,2026-06-09,수분 세럼,28000,자사몰
C0161,1,2026-05-21,진정 크림,28000,자사몰
C0162,1,2026-04-13,수분 세럼,81000,쿠팡
C0163,1,2026-05-02,클렌징 밤,67000,쿠팡
C0164,1,2026-06-02,진정 크림,42000,스마트스토어
C0165,1,2026-08-27,수분 세럼,67000,스마트스토어
C0166,1,2026-06-01,진정 크림,81000,쿠팡
C0167,1,2026-01-19,수분 세럼,28000,쿠팡
C0168,1,2026-04-25,수분 세럼,39000,쿠팡
C0169,1,2026-06-29,클렌징 밤,42000,쿠팡
C0170,1,2026-03-02,수분 세럼,39000,스마트스토어
C0171,1,2026-02-28,수분 세럼,67000,스마트스토어
C0171,2,2026-07-16,수분 세럼,81000,스마트스토어
C0171,3,2026-08-19,클렌징 밤,81000,자사몰
C0172,1,2026-08-22,진정 크림,67000,자사몰
C0173,1,2026-04-24,진정 크림,81000,자사몰
C0174,1,2026-07-01,클렌징 밤,39000,스마트스토어
C0174,2,2026-08-17,진정 크림,81000,자사몰
C0175,1,2026-04-13,클렌징 밤,39000,쿠팡
C0176,1,2026-02-10,수분 세럼,39000,자사몰
C0177,1,2026-07-15,진정 크림,39000,쿠팡
C0178,1,2026-07-19,수분 세럼,67000,자사몰
C0179,1,2026-07-17,진정 크림,42000,자사몰
C0180,1,2026-02-11,수분 세럼,28000,자사몰
C0180,2,2026-03-21,클렌징 밤,42000,자사몰
C0180,3,2026-04-28,수분 세럼,81000,스마트스토어
C0181,1,2026-07-06,수분 세럼,81000,쿠팡
C0182,1,2026-06-29,수분 세럼,42000,자사몰
C0183,1,2026-07-19,클렌징 밤,81000,스마트스토어
C0184,1,2026-07-24,수분 세럼,28000,스마트스토어
C0185,1,2026-05-01,진정 크림,28000,스마트스토어
C0185,2,2026-08-24,수분 세럼,39000,자사몰
C0186,1,2026-04-28,진정 크림,81000,자사몰
C0186,2,2026-08-25,클렌징 밤,67000,쿠팡
C0187,1,2026-01-30,수분 세럼,39000,쿠팡
C0188,1,2026-04-14,진정 크림,81000,쿠팡
C0188,2,2026-07-26,수분 세럼,81000,쿠팡
C0189,1,2026-03-10,수분 세럼,81000,스마트스토어
C0189,2,2026-05-16,수분 세럼,67000,자사몰
C0190,1,2026-06-20,수분 세럼,39000,쿠팡
C0191,1,2026-02-06,진정 크림,39000,쿠팡
C0192,1,2026-05-10,클렌징 밤,67000,자사몰
C0193,1,2026-06-22,진정 크림,81000,스마트스토어
C0194,1,2026-03-05,진정 크림,42000,자사몰
C0195,1,2026-03-30,클렌징 밤,67000,쿠팡
C0196,1,2026-08-01,클렌징 밤,28000,스마트스토어
C0197,1,2026-01-20,수분 세럼,39000,스마트스토어
C0198,1,2026-02-05,진정 크림,67000,쿠팡
C0199,1,2026-03-06,진정 크림,39000,스마트스토어
C0199,2,2026-07-03,진정 크림,28000,쿠팡
C0199,3,2026-08-16,클렌징 밤,39000,자사몰
C0200,1,2026-05-02,클렌징 밤,42000,자사몰
C0201,1,2026-04-16,진정 크림,39000,쿠팡
C0202,1,2026-02-06,수분 세럼,42000,쿠팡
C0202,2,2026-05-21,클렌징 밤,81000,자사몰
C0203,1,2026-05-09,진정 크림,81000,자사몰
C0204,1,2026-05-10,진정 크림,81000,자사몰
C0205,1,2026-04-15,수분 세럼,42000,쿠팡
C0205,2,2026-07-29,수분 세럼,39000,스마트스토어
C0206,1,2026-02-14,클렌징 밤,67000,쿠팡
C0206,2,2026-04-08,클렌징 밤,39000,자사몰
C0207,1,2026-08-16,수분 세럼,67000,스마트스토어
C0208,1,2026-04-04,수분 세럼,42000,자사몰
C0209,1,2026-08-20,클렌징 밤,67000,스마트스토어
C0210,1,2026-01-18,수분 세럼,81000,자사몰
C0211,1,2026-01-26,수분 세럼,81000,자사몰
C0212,1,2026-03-12,클렌징 밤,39000,스마트스토어
C0212,2,2026-05-21,진정 크림,67000,스마트스토어
C0212,3,2026-07-25,수분 세럼,81000,자사몰
C0213,1,2026-06-04,수분 세럼,67000,자사몰
C0214,1,2026-03-16,수분 세럼,42000,쿠팡
C0214,2,2026-07-20,수분 세럼,42000,스마트스토어
C0215,1,2026-01-11,수분 세럼,42000,쿠팡
C0215,2,2026-03-08,수분 세럼,28000,쿠팡
C0216,1,2026-02-03,수분 세럼,42000,스마트스토어
C0216,2,2026-06-30,진정 크림,81000,쿠팡
C0217,1,2026-03-30,수분 세럼,81000,스마트스토어
C0217,2,2026-08-07,클렌징 밤,42000,스마트스토어
C0218,1,2026-02-14,클렌징 밤,42000,스마트스토어
C0219,1,2026-07-09,수분 세럼,81000,스마트스토어
C0220,1,2026-05-25,수분 세럼,39000,쿠팡
C0220,2,2026-08-28,진정 크림,67000,자사몰
C0221,1,2026-06-14,진정 크림,81000,자사몰
C0222,1,2026-01-28,수분 세럼,39000,쿠팡
C0222,2,2026-04-20,수분 세럼,81000,자사몰
C0223,1,2026-06-08,진정 크림,67000,스마트스토어
C0224,1,2026-08-23,진정 크림,67000,스마트스토어
C0225,1,2026-05-15,클렌징 밤,67000,자사몰
C0225,2,2026-06-29,진정 크림,67000,스마트스토어
C0226,1,2026-08-23,클렌징 밤,28000,자사몰
C0227,1,2026-07-13,진정 크림,28000,스마트스토어
C0228,1,2026-01-13,진정 크림,28000,쿠팡
C0229,1,2026-04-30,진정 크림,67000,자사몰
C0229,2,2026-08-05,클렌징 밤,81000,쿠팡
C0230,1,2026-07-14,수분 세럼,42000,쿠팡
C0231,1,2026-04-25,클렌징 밤,67000,쿠팡
C0231,2,2026-07-11,수분 세럼,42000,쿠팡
C0232,1,2026-06-04,진정 크림,42000,쿠팡
C0233,1,2026-01-09,수분 세럼,67000,쿠팡
C0233,2,2026-04-25,클렌징 밤,42000,스마트스토어
C0233,3,2026-06-08,클렌징 밤,42000,쿠팡
C0234,1,2026-02-04,클렌징 밤,39000,자사몰
C0235,1,2026-04-26,진정 크림,28000,자사몰
C0236,1,2026-08-14,수분 세럼,39000,자사몰
C0237,1,2026-05-20,수분 세럼,42000,자사몰
C0238,1,2026-06-25,수분 세럼,67000,스마트스토어
C0239,1,2026-01-17,클렌징 밤,39000,자사몰
C0240,1,2026-03-04,진정 크림,39000,스마트스토어
C0241,1,2026-03-01,진정 크림,67000,자사몰
C0241,2,2026-06-03,클렌징 밤,81000,자사몰
C0242,1,2026-02-22,진정 크림,39000,쿠팡
C0243,1,2026-04-17,진정 크림,42000,자사몰
C0244,1,2026-06-22,클렌징 밤,67000,스마트스토어
C0245,1,2026-04-20,진정 크림,81000,스마트스토어
C0246,1,2026-05-13,클렌징 밤,28000,쿠팡
C0246,2,2026-07-20,진정 크림,67000,쿠팡
C0247,1,2026-04-27,클렌징 밤,39000,쿠팡
C0248,1,2026-01-30,진정 크림,67000,스마트스토어
C0248,2,2026-06-24,진정 크림,28000,자사몰
C0249,1,2026-08-06,클렌징 밤,81000,자사몰
C0250,1,2026-08-22,수분 세럼,28000,쿠팡
C0251,1,2026-05-09,클렌징 밤,42000,스마트스토어
C0252,1,2026-05-09,진정 크림,81000,자사몰
C0253,1,2026-07-02,수분 세럼,39000,스마트스토어
C0254,1,2026-02-27,진정 크림,67000,스마트스토어
C0255,1,2026-02-07,수분 세럼,81000,자사몰
C0255,2,2026-05-03,클렌징 밤,81000,쿠팡
C0256,1,2026-07-04,클렌징 밤,39000,쿠팡
C0257,1,2026-03-14,진정 크림,67000,스마트스토어
C0258,1,2026-03-29,클렌징 밤,42000,스마트스토어
C0259,1,2026-07-29,수분 세럼,81000,쿠팡
C0260,1,2026-02-08,수분 세럼,81000,쿠팡
C0260,2,2026-06-22,진정 크림,42000,스마트스토어
C0261,1,2026-02-15,수분 세럼,67000,쿠팡
C0261,2,2026-05-19,클렌징 밤,42000,스마트스토어
C0261,3,2026-08-11,진정 크림,67000,자사몰
C0262,1,2026-01-31,진정 크림,39000,스마트스토어
C0263,1,2026-06-08,수분 세럼,81000,스마트스토어
C0264,1,2026-04-08,수분 세럼,81000,자사몰
C0264,2,2026-07-13,클렌징 밤,28000,자사몰
C0265,1,2026-03-27,수분 세럼,81000,쿠팡
C0265,2,2026-07-07,클렌징 밤,28000,스마트스토어
C0266,1,2026-08-19,진정 크림,42000,쿠팡
C0267,1,2026-03-06,진정 크림,42000,스마트스토어
C0268,1,2026-03-17,수분 세럼,28000,스마트스토어
C0269,1,2026-07-27,수분 세럼,39000,스마트스토어
C0270,1,2026-04-01,진정 크림,67000,자사몰
C0270,2,2026-07-04,진정 크림,67000,스마트스토어
C0270,3,2026-09-01,수분 세럼,67000,쿠팡
C0271,1,2026-01-09,클렌징 밤,28000,스마트스토어
C0271,2,2026-03-25,진정 크림,67000,쿠팡
C0272,1,2026-05-04,진정 크림,42000,쿠팡
C0272,2,2026-07-30,수분 세럼,42000,스마트스토어
C0273,1,2026-06-12,수분 세럼,28000,스마트스토어
C0274,1,2026-01-04,클렌징 밤,42000,쿠팡
C0274,2,2026-04-24,수분 세럼,42000,스마트스토어
C0275,1,2026-05-02,클렌징 밤,39000,스마트스토어
C0275,2,2026-06-28,클렌징 밤,39000,쿠팡
C0276,1,2026-03-13,수분 세럼,39000,자사몰
C0276,2,2026-06-29,수분 세럼,81000,자사몰
C0277,1,2026-01-25,진정 크림,42000,자사몰
C0277,2,2026-06-06,진정 크림,28000,스마트스토어
C0278,1,2026-04-01,진정 크림,81000,자사몰
C0278,2,2026-05-22,클렌징 밤,67000,자사몰
C0278,3,2026-07-10,진정 크림,67000,쿠팡
C0279,1,2026-02-02,수분 세럼,42000,스마트스토어
C0280,1,2026-08-01,진정 크림,81000,스마트스토어
C0281,1,2026-04-30,수분 세럼,42000,스마트스토어
C0281,2,2026-08-04,수분 세럼,42000,스마트스토어
C0282,1,2026-08-12,진정 크림,81000,쿠팡
C0283,1,2026-02-24,진정 크림,67000,자사몰
C0284,1,2026-08-10,클렌징 밤,28000,스마트스토어
C0285,1,2026-02-15,수분 세럼,39000,쿠팡
C0285,2,2026-05-18,클렌징 밤,67000,자사몰
C0286,1,2026-02-24,수분 세럼,67000,자사몰
C0286,2,2026-04-18,수분 세럼,67000,자사몰
C0286,3,2026-07-04,클렌징 밤,81000,스마트스토어
C0287,1,2026-03-19,수분 세럼,42000,쿠팡
C0288,1,2026-01-30,진정 크림,81000,스마트스토어
C0288,2,2026-05-30,진정 크림,42000,쿠팡
C0289,1,2026-03-11,진정 크림,67000,쿠팡
C0289,2,2026-05-26,진정 크림,39000,자사몰
C0289,3,2026-07-09,클렌징 밤,81000,스마트스토어
C0289,4,2026-08-14,수분 세럼,81000,스마트스토어
C0290,1,2026-01-06,진정 크림,81000,쿠팡
C0291,1,2026-05-18,클렌징 밤,39000,스마트스토어
C0292,1,2026-05-09,수분 세럼,67000,자사몰
C0293,1,2026-03-16,클렌징 밤,39000,자사몰
C0293,2,2026-04-25,수분 세럼,42000,쿠팡
C0293,3,2026-08-14,진정 크림,67000,스마트스토어
C0294,1,2026-02-15,수분 세럼,39000,쿠팡
C0294,2,2026-04-09,진정 크림,39000,자사몰
C0295,1,2026-07-02,클렌징 밤,39000,쿠팡
C0296,1,2026-05-14,수분 세럼,42000,쿠팡
C0297,1,2026-01-25,진정 크림,28000,자사몰
C0298,1,2026-06-04,클렌징 밤,42000,쿠팡
C0298,2,2026-07-31,진정 크림,28000,스마트스토어
C0299,1,2026-07-20,클렌징 밤,67000,쿠팡
C0300,1,2026-05-25,수분 세럼,39000,자사몰
C0301,1,2026-05-03,진정 크림,28000,쿠팡
C0302,1,2026-07-02,클렌징 밤,81000,스마트스토어
C0303,1,2026-03-23,클렌징 밤,67000,스마트스토어
C0304,1,2026-01-26,진정 크림,81000,쿠팡
C0305,1,2026-07-15,수분 세럼,39000,쿠팡
C0306,1,2026-01-19,클렌징 밤,42000,자사몰
C0307,1,2026-04-27,수분 세럼,39000,쿠팡
C0308,1,2026-05-10,클렌징 밤,28000,쿠팡
C0309,1,2026-05-23,클렌징 밤,39000,스마트스토어
C0310,1,2026-07-03,진정 크림,67000,자사몰
C0311,1,2026-05-19,클렌징 밤,28000,스마트스토어
C0312,1,2026-03-20,클렌징 밤,28000,쿠팡
C0312,2,2026-07-13,클렌징 밤,67000,자사몰
C0313,1,2026-02-06,클렌징 밤,28000,스마트스토어
C0314,1,2026-08-12,진정 크림,28000,스마트스토어
C0315,1,2026-08-09,클렌징 밤,67000,자사몰
C0316,1,2026-07-24,클렌징 밤,81000,자사몰
C0317,1,2026-03-21,클렌징 밤,81000,스마트스토어
C0318,1,2026-02-13,수분 세럼,39000,쿠팡
C0318,2,2026-03-15,진정 크림,39000,자사몰
C0319,1,2026-04-28,수분 세럼,42000,자사몰
C0320,1,2026-06-15,클렌징 밤,42000,스마트스토어
