날짜,유입채널,디바이스,유입,가입,장바구니,결제시작,결제완료,채널친구,광고동의
2026-06-10,인스타,모바일,47,4,1,0,0,3,2
2026-06-10,인스타,PC,17,2,0,0,0,2,1
2026-06-10,뉴스레터,모바일,22,4,2,1,1,4,3
2026-06-10,뉴스레터,PC,8,2,1,0,0,2,1
2026-06-11,자연검색,모바일,114,18,4,1,0,17,11
2026-06-11,자연검색,PC,40,6,2,1,0,5,3
2026-06-11,유료검색,모바일,85,10,3,1,0,8,5
2026-06-11,유료검색,PC,35,6,2,1,0,5,4
2026-06-11,메타광고,모바일,80,8,2,1,0,6,4
2026-06-11,메타광고,PC,25,3,1,0,0,2,1
2026-06-11,인스타,모바일,52,6,1,0,0,5,4
2026-06-11,인스타,PC,18,3,1,0,0,3,2
2026-06-11,뉴스레터,모바일,27,5,2,1,1,4,3
2026-06-11,뉴스레터,PC,8,2,1,0,0,2,1
2026-06-12,자연검색,모바일,88,11,3,1,0,10,7
2026-06-12,자연검색,PC,36,6,1,0,0,5,4
2026-06-12,유료검색,모바일,92,10,3,1,1,9,7
2026-06-12,유료검색,PC,29,4,1,0,0,4,3
2026-06-12,메타광고,모바일,70,9,2,0,0,7,5
2026-06-12,메타광고,PC,28,4,1,0,0,4,3
2026-06-12,인스타,모바일,48,6,1,0,0,5,4
2026-06-12,인스타,PC,15,2,0,0,0,2,1
2026-06-12,뉴스레터,모바일,21,5,2,1,1,4,3
2026-06-12,뉴스레터,PC,9,2,1,0,0,2,1
2026-06-13,자연검색,모바일,97,14,4,1,0,13,10
2026-06-13,자연검색,PC,37,7,2,1,1,7,5
2026-06-13,유료검색,모바일,92,10,3,1,0,9,7
2026-06-13,유료검색,PC,28,4,1,0,0,3,2
2026-06-13,메타광고,모바일,66,6,1,0,0,6,5
2026-06-13,메타광고,PC,26,3,1,0,0,3,2
2026-06-13,인스타,모바일,47,5,1,0,0,5,4
2026-06-13,인스타,PC,16,2,0,0,0,2,1
2026-06-13,뉴스레터,모바일,21,4,2,1,1,3,2
2026-06-13,뉴스레터,PC,7,2,1,0,0,2,1
2026-06-14,자연검색,모바일,93,14,3,1,0,13,9
2026-06-14,자연검색,PC,30,5,1,0,0,5,4
2026-06-14,유료검색,모바일,92,13,3,1,0,11,7
2026-06-14,유료검색,PC,28,4,1,0,0,4,3
2026-06-14,메타광고,모바일,75,7,1,0,0,6,5
2026-06-14,메타광고,PC,25,3,1,0,0,3,2
2026-06-14,인스타,모바일,50,6,1,0,0,5,3
2026-06-14,인스타,PC,17,3,1,0,0,3,2
2026-06-14,뉴스레터,모바일,24,5,2,1,1,4,3
2026-06-14,뉴스레터,PC,7,2,1,0,0,2,1
2026-06-15,자연검색,모바일,112,15,4,1,0,13,9
2026-06-15,자연검색,PC,42,5,1,0,0,5,4
2026-06-15,유료검색,모바일,102,13,4,1,1,11,8
2026-06-15,유료검색,PC,35,5,2,1,1,4,3
2026-06-15,메타광고,모바일,79,8,2,1,0,7,4
2026-06-15,메타광고,PC,27,4,1,0,0,3,2
2026-06-15,인스타,모바일,46,4,1,0,0,4,3
2026-06-15,인스타,PC,20,3,1,0,0,2,1
2026-06-15,뉴스레터,모바일,29,6,2,1,1,5,4
2026-06-15,뉴스레터,PC,10,2,1,0,0,2,1
2026-06-16,자연검색,모바일,99,15,4,1,1,12,9
2026-06-16,자연검색,PC,39,5,2,1,1,4,3
2026-06-16,유료검색,모바일,92,11,3,1,0,9,7
2026-06-16,유료검색,PC,33,5,1,0,0,5,3
2026-06-16,메타광고,모바일,79,7,1,0,0,6,4
2026-06-16,메타광고,PC,30,3,1,0,0,2,2
2026-06-16,인스타,모바일,50,7,1,0,0,6,4
2026-06-16,인스타,PC,17,2,0,0,0,2,1
2026-06-16,뉴스레터,모바일,25,6,2,1,1,5,3
2026-06-16,뉴스레터,PC,9,3,1,1,1,2,2
2026-06-17,자연검색,모바일,103,16,4,1,1,14,10
2026-06-17,자연검색,PC,41,6,2,1,1,5,4
2026-06-17,유료검색,모바일,101,13,3,1,1,11,8
2026-06-17,유료검색,PC,33,4,1,0,0,3,2
2026-06-17,메타광고,모바일,69,6,1,0,0,6,4
2026-06-17,메타광고,PC,26,3,1,0,0,3,2
2026-06-17,인스타,모바일,52,5,1,0,0,4,3
2026-06-17,인스타,PC,19,3,1,0,0,3,2
2026-06-17,뉴스레터,모바일,27,6,2,1,1,5,3
2026-06-17,뉴스레터,PC,8,2,1,0,0,2,1
2026-06-18,자연검색,모바일,90,14,3,1,1,12,9
2026-06-18,자연검색,PC,34,5,2,1,1,4,3
2026-06-18,유료검색,모바일,86,11,3,1,0,9,6
2026-06-18,유료검색,PC,32,5,1,0,0,4,3
2026-06-18,메타광고,모바일,79,8,2,1,0,7,5
2026-06-18,메타광고,PC,28,3,1,0,0,3,2
2026-06-18,인스타,모바일,42,4,1,0,0,3,2
2026-06-18,인스타,PC,16,2,0,0,0,2,1
2026-06-18,뉴스레터,모바일,21,6,3,1,0,5,3
2026-06-18,뉴스레터,PC,9,2,1,0,0,2,1
2026-06-19,자연검색,모바일,96,15,4,1,0,12,8
2026-06-19,자연검색,PC,30,5,1,0,0,4,3
2026-06-19,유료검색,모바일,77,12,3,1,0,11,8
2026-06-19,유료검색,PC,33,5,1,0,0,5,3
2026-06-19,메타광고,모바일,76,9,2,1,0,8,6
2026-06-19,메타광고,PC,23,3,1,0,0,3,2
2026-06-19,인스타,모바일,47,6,2,1,0,5,4
2026-06-19,인스타,PC,15,2,0,0,0,2,1
2026-06-19,뉴스레터,모바일,20,5,2,1,1,4,3
2026-06-19,뉴스레터,PC,7,2,1,1,1,2,1
2026-06-20,자연검색,모바일,85,13,4,1,1,11,7
2026-06-20,자연검색,PC,32,5,1,0,0,4,3
2026-06-20,유료검색,모바일,91,10,2,1,0,9,7
2026-06-20,유료검색,PC,26,3,1,0,0,3,2
2026-06-20,메타광고,모바일,64,7,1,0,0,6,4
2026-06-20,메타광고,PC,27,3,1,0,0,3,2
2026-06-20,인스타,모바일,47,6,1,0,0,5,3
2026-06-20,인스타,PC,17,2,1,0,0,2,1
2026-06-20,뉴스레터,모바일,24,4,2,1,0,3,2
2026-06-20,뉴스레터,PC,7,2,1,0,0,2,1
2026-06-21,자연검색,모바일,88,14,4,1,0,13,9
2026-06-21,자연검색,PC,34,5,2,1,1,4,3
2026-06-21,유료검색,모바일,86,12,3,1,0,10,7
2026-06-21,유료검색,PC,31,4,1,0,0,4,3
2026-06-21,메타광고,모바일,66,8,2,0,0,7,5
2026-06-21,메타광고,PC,26,3,1,0,0,3,2
2026-06-21,인스타,모바일,42,6,1,0,0,5,4
2026-06-21,인스타,PC,14,2,1,0,0,2,1
2026-06-21,뉴스레터,모바일,22,4,2,1,1,3,2
2026-06-21,뉴스레터,PC,8,2,1,0,0,2,1
2026-06-22,자연검색,모바일,102,13,3,1,1,11,8
2026-06-22,자연검색,PC,39,5,2,1,0,4,3
2026-06-22,유료검색,모바일,84,9,2,1,1,8,6
2026-06-22,유료검색,PC,28,4,1,0,0,4,3
2026-06-22,메타광고,모바일,75,9,2,1,0,7,5
2026-06-22,메타광고,PC,24,3,1,0,0,2,1
2026-06-22,인스타,모바일,44,5,1,0,0,4,3
2026-06-22,인스타,PC,17,2,0,0,0,2,1
2026-06-22,뉴스레터,모바일,22,6,3,1,1,5,4
2026-06-22,뉴스레터,PC,8,2,1,1,1,2,1
2026-06-23,자연검색,모바일,102,13,4,1,0,12,8
2026-06-23,자연검색,PC,36,5,1,0,0,4,3
2026-06-23,유료검색,모바일,102,11,2,1,0,9,6
2026-06-23,유료검색,PC,35,5,2,1,1,4,3
2026-06-23,메타광고,모바일,84,9,2,0,0,7,5
2026-06-23,메타광고,PC,26,3,1,0,0,2,1
2026-06-23,인스타,모바일,51,6,1,0,0,6,4
2026-06-23,인스타,PC,18,3,1,0,0,3,2
2026-06-23,뉴스레터,모바일,24,5,2,1,1,4,3
2026-06-23,뉴스레터,PC,9,2,1,0,0,2,1
2026-06-24,자연검색,모바일,111,12,2,1,0,11,7
2026-06-24,자연검색,PC,36,5,2,1,0,4,3
2026-06-24,유료검색,모바일,101,15,3,1,0,14,9
2026-06-24,유료검색,PC,35,4,1,0,0,4,3
2026-06-24,메타광고,모바일,78,10,2,1,0,8,5
2026-06-24,메타광고,PC,28,3,1,0,0,2,1
2026-06-24,인스타,모바일,46,6,1,0,0,5,3
2026-06-24,인스타,PC,17,2,1,0,0,2,1
2026-06-24,뉴스레터,모바일,25,7,3,1,1,6,4
2026-06-24,뉴스레터,PC,9,2,1,1,1,2,2
2026-06-25,자연검색,모바일,105,14,4,1,0,12,9
2026-06-25,자연검색,PC,37,6,2,1,0,5,4
2026-06-25,유료검색,모바일,84,10,3,1,0,9,7
2026-06-25,유료검색,PC,30,4,1,0,0,3,2
2026-06-25,메타광고,모바일,77,9,2,1,0,8,6
2026-06-25,메타광고,PC,25,3,1,0,0,2,1
2026-06-25,인스타,모바일,45,5,1,0,0,4,3
2026-06-25,인스타,PC,17,2,0,0,0,2,1
2026-06-25,뉴스레터,모바일,26,7,3,1,1,6,4
2026-06-25,뉴스레터,PC,8,2,1,0,0,2,1
2026-06-26,자연검색,모바일,117,14,4,1,0,11,8
2026-06-26,자연검색,PC,39,6,2,1,1,6,5
2026-06-26,유료검색,모바일,95,10,2,1,0,8,6
2026-06-26,유료검색,PC,36,6,2,1,0,6,5
2026-06-26,메타광고,모바일,82,8,2,1,0,6,5
2026-06-26,메타광고,PC,32,4,1,0,0,3,2
2026-06-26,인스타,모바일,48,6,1,0,0,5,4
2026-06-26,인스타,PC,19,2,0,0,0,2,1
2026-06-26,뉴스레터,모바일,29,6,2,1,1,5,4
2026-06-26,뉴스레터,PC,9,3,1,1,1,3,2
2026-06-27,자연검색,모바일,109,14,4,1,0,13,9
2026-06-27,자연검색,PC,31,4,1,0,0,3,2
2026-06-27,유료검색,모바일,88,13,3,1,0,11,8
2026-06-27,유료검색,PC,31,5,1,0,0,5,3
2026-06-27,메타광고,모바일,69,8,2,1,0,6,4
2026-06-27,메타광고,PC,23,2,1,0,0,2,1
2026-06-27,인스타,모바일,48,6,1,0,0,5,4
2026-06-27,인스타,PC,18,2,1,0,0,2,1
2026-06-27,뉴스레터,모바일,23,6,2,1,1,5,4
2026-06-27,뉴스레터,PC,7,2,1,0,0,2,1
2026-06-28,자연검색,모바일,89,10,3,1,0,8,6
2026-06-28,자연검색,PC,33,5,1,0,0,4,3
2026-06-28,유료검색,모바일,91,12,3,1,1,10,7
2026-06-28,유료검색,PC,30,4,1,0,0,3,2
2026-06-28,메타광고,모바일,68,7,1,0,0,6,4
2026-06-28,메타광고,PC,26,3,1,0,0,3,2
2026-06-28,인스타,모바일,46,5,1,0,0,4,3
2026-06-28,인스타,PC,17,2,1,0,0,2,1
2026-06-28,뉴스레터,모바일,22,5,2,1,1,4,3
2026-06-28,뉴스레터,PC,8,2,1,0,0,2,1
2026-06-29,자연검색,모바일,104,15,4,1,0,14,11
2026-06-29,자연검색,PC,39,6,2,1,1,5,4
2026-06-29,유료검색,모바일,115,14,4,1,0,12,9
2026-06-29,유료검색,PC,39,7,2,1,1,6,5
2026-06-29,메타광고,모바일,94,9,2,1,0,8,6
2026-06-29,메타광고,PC,27,3,1,0,0,2,1
2026-06-29,인스타,모바일,51,6,1,0,0,5,4
2026-06-29,인스타,PC,18,2,0,0,0,2,1
2026-06-29,뉴스레터,모바일,30,8,3,1,1,6,4
2026-06-29,뉴스레터,PC,10,2,1,1,1,2,1
2026-06-30,자연검색,모바일,110,17,4,1,1,14,10
2026-06-30,자연검색,PC,40,6,2,1,1,6,4
2026-06-30,유료검색,모바일,87,10,3,1,0,8,5
2026-06-30,유료검색,PC,37,5,1,0,0,4,3
2026-06-30,메타광고,모바일,74,7,1,0,0,6,5
2026-06-30,메타광고,PC,26,4,1,0,0,3,2
2026-06-30,인스타,모바일,48,6,1,0,0,5,3
2026-06-30,인스타,PC,18,2,1,0,0,2,1
2026-06-30,뉴스레터,모바일,26,6,3,1,1,5,4
2026-06-30,뉴스레터,PC,9,3,1,0,0,3,2
2026-07-01,자연검색,모바일,113,12,3,1,0,10,8
2026-07-01,자연검색,PC,41,6,1,0,0,5,4
2026-07-01,유료검색,모바일,91,14,3,1,1,12,8
2026-07-01,유료검색,PC,39,5,1,0,0,4,3
2026-07-01,메타광고,모바일,85,9,2,1,0,8,5
2026-07-01,메타광고,PC,31,4,1,0,0,3,2
2026-07-01,인스타,모바일,55,6,1,0,0,6,4
2026-07-01,인스타,PC,18,2,0,0,0,2,1
2026-07-01,뉴스레터,모바일,27,5,2,1,1,4,3
2026-07-01,뉴스레터,PC,10,2,1,0,0,2,2
2026-07-02,자연검색,모바일,109,17,4,1,0,15,11
2026-07-02,자연검색,PC,32,5,1,0,0,4,3
2026-07-02,유료검색,모바일,99,11,3,1,0,10,7
2026-07-02,유료검색,PC,32,5,1,0,0,4,3
2026-07-02,메타광고,모바일,66,7,1,0,0,6,4
2026-07-02,메타광고,PC,23,2,0,0,0,2,2
2026-07-02,인스타,모바일,45,4,1,0,0,3,2
2026-07-02,인스타,PC,17,2,1,0,0,2,1
2026-07-02,뉴스레터,모바일,24,6,2,1,1,5,3
2026-07-02,뉴스레터,PC,8,2,1,0,0,2,1
2026-07-03,자연검색,모바일,104,13,4,1,1,11,8
2026-07-03,자연검색,PC,35,5,1,0,0,4,3
2026-07-03,유료검색,모바일,86,12,3,1,0,10,7
2026-07-03,유료검색,PC,36,5,1,0,0,5,3
2026-07-03,메타광고,모바일,87,11,2,1,0,10,7
2026-07-03,메타광고,PC,26,4,1,0,0,3,2
2026-07-03,인스타,모바일,51,6,1,0,0,5,3
2026-07-03,인스타,PC,19,3,1,0,0,2,1
2026-07-03,뉴스레터,모바일,23,6,3,1,1,5,3
2026-07-03,뉴스레터,PC,9,3,1,0,0,2,1
2026-07-04,자연검색,모바일,91,11,3,1,0,10,8
2026-07-04,자연검색,PC,36,5,1,0,0,4,3
2026-07-04,유료검색,모바일,95,14,4,1,0,11,8
2026-07-04,유료검색,PC,33,6,2,1,1,5,3
2026-07-04,메타광고,모바일,78,9,2,1,0,8,6
2026-07-04,메타광고,PC,24,2,0,0,0,2,1
2026-07-04,인스타,모바일,42,5,1,0,0,5,4
2026-07-04,인스타,PC,17,2,0,0,0,2,1
2026-07-04,뉴스레터,모바일,22,5,2,1,1,5,4
2026-07-04,뉴스레터,PC,9,2,1,0,0,2,1
2026-07-05,자연검색,모바일,76,11,3,1,0,10,6
2026-07-05,자연검색,PC,26,4,1,0,0,3,2
2026-07-05,유료검색,모바일,81,12,3,1,0,11,8
2026-07-05,유료검색,PC,25,3,1,0,0,3,2
2026-07-05,메타광고,모바일,67,8,2,0,0,7,5
2026-07-05,메타광고,PC,23,3,1,0,0,3,2
2026-07-05,인스타,모바일,41,5,1,0,0,5,3
2026-07-05,인스타,PC,13,1,0,0,0,1,1
2026-07-05,뉴스레터,모바일,22,6,3,1,1,5,4
2026-07-05,뉴스레터,PC,7,2,1,1,1,2,1
2026-07-06,자연검색,모바일,102,14,4,1,0,11,8
2026-07-06,자연검색,PC,38,6,2,1,1,5,3
2026-07-06,유료검색,모바일,98,14,3,1,0,12,9
2026-07-06,유료검색,PC,36,6,1,0,0,5,4
2026-07-06,메타광고,모바일,81,9,2,1,0,7,5
2026-07-06,메타광고,PC,28,3,1,0,0,3,2
2026-07-06,인스타,모바일,53,6,1,0,0,5,4
2026-07-06,인스타,PC,20,2,0,0,0,2,1
2026-07-06,뉴스레터,모바일,29,7,2,1,1,6,5
2026-07-06,뉴스레터,PC,10,2,1,0,0,2,1
2026-07-07,자연검색,모바일,101,13,3,1,0,12,9
2026-07-07,자연검색,PC,41,5,1,0,0,4,3
2026-07-07,유료검색,모바일,99,13,3,1,0,12,8
2026-07-07,유료검색,PC,35,4,1,0,0,4,3
2026-07-07,메타광고,모바일,84,9,2,1,0,8,6
2026-07-07,메타광고,PC,30,4,1,0,0,4,3
2026-07-07,인스타,모바일,54,6,1,0,0,5,3
2026-07-07,인스타,PC,19,3,1,0,0,2,1
2026-07-07,뉴스레터,모바일,29,7,3,1,0,6,4
2026-07-07,뉴스레터,PC,9,2,1,0,0,2,1
2026-07-08,자연검색,모바일,103,12,3,1,1,11,7
2026-07-08,자연검색,PC,38,6,2,1,0,5,4
2026-07-08,유료검색,모바일,80,11,2,1,1,9,7
2026-07-08,유료검색,PC,32,4,1,0,0,4,3
2026-07-08,메타광고,모바일,73,8,2,0,0,6,4
2026-07-08,메타광고,PC,28,3,1,0,0,3,2
2026-07-08,인스타,모바일,52,6,1,0,0,5,4
2026-07-08,인스타,PC,15,2,1,0,0,2,1
2026-07-08,뉴스레터,모바일,21,4,1,0,0,3,2
2026-07-08,뉴스레터,PC,9,2,1,0,0,2,1
2026-07-09,자연검색,모바일,113,16,4,1,0,13,10
2026-07-09,자연검색,PC,42,6,2,1,1,5,3
2026-07-09,유료검색,모바일,104,14,3,1,1,12,9
2026-07-09,유료검색,PC,32,5,1,0,0,4,3
2026-07-09,메타광고,모바일,74,7,2,1,0,7,5
2026-07-09,메타광고,PC,31,3,1,0,0,3,2
2026-07-09,인스타,모바일,49,6,1,0,0,5,4
2026-07-09,인스타,PC,19,2,1,0,0,2,1
2026-07-09,뉴스레터,모바일,24,6,2,1,1,5,3
2026-07-09,뉴스레터,PC,9,2,1,0,0,2,2
2026-07-10,자연검색,모바일,93,11,3,1,1,10,6
2026-07-10,자연검색,PC,31,4,1,0,0,4,3
2026-07-10,유료검색,모바일,85,11,3,1,1,9,6
2026-07-10,유료검색,PC,33,6,2,1,1,5,4
2026-07-10,메타광고,모바일,65,7,1,0,0,7,5
2026-07-10,메타광고,PC,22,3,1,0,0,2,1
2026-07-10,인스타,모바일,44,5,1,0,0,5,4
2026-07-10,인스타,PC,17,3,1,0,0,3,2
2026-07-10,뉴스레터,모바일,24,6,2,1,1,5,4
2026-07-10,뉴스레터,PC,7,2,1,0,0,2,1
2026-07-11,자연검색,모바일,86,14,3,1,1,11,8
2026-07-11,자연검색,PC,31,5,1,0,0,4,3
2026-07-11,유료검색,모바일,86,10,2,1,1,9,6
2026-07-11,유료검색,PC,28,4,1,0,0,3,2
2026-07-11,메타광고,모바일,63,7,2,1,0,6,4
2026-07-11,메타광고,PC,23,3,1,0,0,2,1
2026-07-11,인스타,모바일,45,5,1,0,0,4,3
2026-07-11,인스타,PC,14,2,0,0,0,2,1
2026-07-11,뉴스레터,모바일,19,4,1,0,0,3,2
2026-07-11,뉴스레터,PC,7,2,1,0,0,2,2
2026-07-12,자연검색,모바일,90,11,2,1,0,9,7
2026-07-12,자연검색,PC,38,6,1,0,0,5,4
2026-07-12,유료검색,모바일,82,12,3,1,0,9,6
2026-07-12,유료검색,PC,28,3,1,0,0,2,1
2026-07-12,메타광고,모바일,70,8,2,1,0,7,5
2026-07-12,메타광고,PC,27,3,1,0,0,3,2
2026-07-12,인스타,모바일,43,6,1,0,0,5,4
2026-07-12,인스타,PC,15,2,1,0,0,2,2
2026-07-12,뉴스레터,모바일,23,4,2,1,1,4,3
2026-07-12,뉴스레터,PC,8,2,1,0,0,2,1
2026-07-13,자연검색,모바일,120,13,3,1,1,11,8
2026-07-13,자연검색,PC,43,5,1,0,0,4,3
2026-07-13,유료검색,모바일,102,12,3,1,1,10,6
2026-07-13,유료검색,PC,36,5,1,0,0,4,3
2026-07-13,메타광고,모바일,87,8,2,1,0,7,5
2026-07-13,메타광고,PC,29,4,1,0,0,3,2
2026-07-13,인스타,모바일,56,6,1,0,0,5,4
2026-07-13,인스타,PC,17,3,1,0,0,3,2
2026-07-13,뉴스레터,모바일,25,5,2,1,1,5,4
2026-07-13,뉴스레터,PC,9,3,1,0,0,3,2
2026-07-14,자연검색,모바일,115,18,4,1,0,14,10
2026-07-14,자연검색,PC,43,5,2,1,0,4,3
2026-07-14,유료검색,모바일,99,13,4,1,0,12,8
2026-07-14,유료검색,PC,33,4,1,0,0,4,3
2026-07-14,메타광고,모바일,77,7,2,1,0,6,4
2026-07-14,메타광고,PC,32,4,1,0,0,3,2
2026-07-14,인스타,모바일,61,6,1,0,0,5,4
2026-07-14,인스타,PC,19,2,1,0,0,2,1
2026-07-14,뉴스레터,모바일,27,5,2,1,1,5,3
2026-07-14,뉴스레터,PC,10,2,1,0,0,2,1
2026-07-15,자연검색,모바일,97,11,2,1,0,9,7
2026-07-15,자연검색,PC,33,4,1,0,0,4,3
2026-07-15,유료검색,모바일,104,12,2,1,0,10,8
2026-07-15,유료검색,PC,33,6,2,1,1,5,3
2026-07-15,메타광고,모바일,83,8,2,1,0,7,5
2026-07-15,메타광고,PC,26,3,1,0,0,3,2
2026-07-15,인스타,모바일,52,5,1,0,0,4,3
2026-07-15,인스타,PC,17,2,0,0,0,2,2
2026-07-15,뉴스레터,모바일,27,5,2,1,0,4,3
2026-07-15,뉴스레터,PC,9,2,1,0,0,2,1
2026-07-16,자연검색,모바일,98,12,3,1,1,11,8
2026-07-16,자연검색,PC,40,5,1,0,0,4,3
2026-07-16,유료검색,모바일,93,13,3,1,0,12,8
2026-07-16,유료검색,PC,30,4,1,0,0,3,2
2026-07-16,메타광고,모바일,73,8,2,1,0,7,5
2026-07-16,메타광고,PC,30,4,1,0,0,3,2
2026-07-16,인스타,모바일,51,6,1,0,0,6,4
2026-07-16,인스타,PC,18,3,1,0,0,3,2
2026-07-16,뉴스레터,모바일,28,8,3,1,1,7,5
2026-07-16,뉴스레터,PC,10,2,1,0,0,2,1
2026-07-17,자연검색,모바일,87,10,3,1,0,9,6
2026-07-17,자연검색,PC,31,5,2,1,0,5,3
2026-07-17,유료검색,모바일,79,12,3,1,0,10,7
2026-07-17,유료검색,PC,29,5,1,0,0,5,4
2026-07-17,메타광고,모바일,79,8,2,1,0,6,5
2026-07-17,메타광고,PC,25,4,1,0,0,3,2
2026-07-17,인스타,모바일,43,6,1,0,0,5,4
2026-07-17,인스타,PC,17,2,1,0,0,2,1
2026-07-17,뉴스레터,모바일,20,5,2,1,0,5,4
2026-07-17,뉴스레터,PC,7,2,1,0,0,2,1
2026-07-18,자연검색,모바일,102,11,3,1,0,10,7
2026-07-18,자연검색,PC,29,4,1,0,0,4,3
2026-07-18,유료검색,모바일,90,11,2,1,0,9,6
2026-07-18,유료검색,PC,29,4,1,0,0,3,2
2026-07-18,메타광고,모바일,62,6,1,0,0,6,4
2026-07-18,메타광고,PC,21,2,0,0,0,2,1
2026-07-18,인스타,모바일,40,5,1,0,0,4,3
2026-07-18,인스타,PC,14,2,1,0,0,2,1
2026-07-18,뉴스레터,모바일,22,5,2,1,1,4,3
2026-07-18,뉴스레터,PC,8,2,1,0,0,2,2
2026-07-19,자연검색,모바일,77,11,3,1,0,10,7
2026-07-19,자연검색,PC,26,3,1,0,0,3,2
2026-07-19,유료검색,모바일,68,8,2,1,0,6,4
2026-07-19,유료검색,PC,29,5,2,1,0,4,3
2026-07-19,메타광고,모바일,58,7,1,0,0,6,4
2026-07-19,메타광고,PC,19,2,0,0,0,2,1
2026-07-19,인스타,모바일,41,5,1,0,0,4,3
2026-07-19,인스타,PC,14,1,0,0,0,1,1
2026-07-19,뉴스레터,모바일,22,4,2,1,1,3,2
2026-07-19,뉴스레터,PC,7,2,1,0,0,2,2
2026-07-20,자연검색,모바일,107,13,3,1,0,12,9
2026-07-20,자연검색,PC,37,6,1,0,0,5,3
2026-07-20,유료검색,모바일,92,14,3,1,0,13,9
2026-07-20,유료검색,PC,32,5,1,0,0,4,3
2026-07-20,메타광고,모바일,81,10,2,1,0,9,6
2026-07-20,메타광고,PC,27,3,1,0,0,3,2
2026-07-20,인스타,모바일,49,5,1,0,0,5,4
2026-07-20,인스타,PC,20,3,1,0,0,2,1
