날짜,유입채널,디바이스,유입,가입,장바구니,결제시작,결제완료
2026-05-23,자연검색,PC,114,16,6,3,1
2026-05-23,유료검색,모바일,572,76,19,10,5
2026-05-23,유료검색,PC,156,19,6,3,1
2026-05-23,메타광고,모바일,478,51,12,7,4
2026-05-23,메타광고,PC,131,14,5,3,1
2026-05-23,인스타,모바일,253,21,5,3,1
2026-05-23,인스타,PC,76,7,2,1,0
2026-05-23,뉴스레터,모바일,181,30,7,4,2
2026-05-23,뉴스레터,PC,47,9,3,2,1
2026-05-24,자연검색,모바일,422,63,16,9,4
2026-05-24,자연검색,PC,102,14,5,3,1
2026-05-24,유료검색,모바일,513,62,16,9,5
2026-05-24,유료검색,PC,130,15,5,3,2
2026-05-24,메타광고,모바일,431,50,13,7,3
2026-05-24,메타광고,PC,135,14,5,3,1
2026-05-24,인스타,모바일,231,19,5,3,1
2026-05-24,인스타,PC,75,7,3,2,1
2026-05-24,뉴스레터,모바일,202,38,10,6,3
2026-05-24,뉴스레터,PC,52,10,4,2,1
2026-05-25,자연검색,모바일,372,55,14,8,4
2026-05-25,자연검색,PC,90,14,5,3,2
2026-05-25,유료검색,모바일,496,60,16,9,4
2026-05-25,유료검색,PC,110,13,5,3,1
2026-05-25,메타광고,모바일,439,52,14,8,4
2026-05-25,메타광고,PC,113,12,5,3,1
2026-05-25,인스타,모바일,208,18,5,3,2
2026-05-25,인스타,PC,58,5,2,1,1
2026-05-25,뉴스레터,모바일,154,26,6,3,1
2026-05-25,뉴스레터,PC,49,9,3,2,1
2026-05-26,자연검색,모바일,306,43,12,6,3
2026-05-26,자연검색,PC,91,14,5,3,1
2026-05-26,유료검색,모바일,429,57,14,8,4
2026-05-26,유료검색,PC,140,18,7,4,2
2026-05-26,메타광고,모바일,405,46,13,7,3
2026-05-26,메타광고,PC,111,13,5,3,1
2026-05-26,인스타,모바일,208,18,5,3,2
2026-05-26,인스타,PC,68,7,2,1,0
2026-05-26,뉴스레터,모바일,165,31,8,4,2
2026-05-26,뉴스레터,PC,44,8,3,2,1
2026-05-27,자연검색,모바일,377,52,15,8,4
2026-05-27,자연검색,PC,101,14,5,3,2
2026-05-27,유료검색,모바일,401,48,13,8,4
2026-05-27,유료검색,PC,120,16,5,3,1
2026-05-27,메타광고,모바일,452,54,14,8,4
2026-05-27,메타광고,PC,120,13,5,3,1
2026-05-27,인스타,모바일,200,19,5,3,1
2026-05-27,인스타,PC,55,5,2,1,1
2026-05-27,뉴스레터,모바일,147,25,6,3,1
2026-05-27,뉴스레터,PC,48,9,3,2,1
2026-05-28,자연검색,모바일,303,46,11,6,3
2026-05-28,자연검색,PC,108,16,6,4,2
2026-05-28,유료검색,모바일,418,56,14,8,4
2026-05-28,유료검색,PC,131,16,6,3,1
2026-05-28,메타광고,모바일,386,46,13,7,4
2026-05-28,메타광고,PC,118,12,4,2,1
2026-05-28,인스타,모바일,223,20,5,3,2
2026-05-28,인스타,PC,60,6,2,1,0
2026-05-28,뉴스레터,모바일,141,26,7,4,2
2026-05-28,뉴스레터,PC,45,9,3,2,1
2026-05-29,자연검색,모바일,371,51,12,6,3
2026-05-29,자연검색,PC,103,14,5,3,2
2026-05-29,유료검색,모바일,418,55,15,8,4
2026-05-29,유료검색,PC,127,16,5,3,1
2026-05-29,메타광고,모바일,455,54,14,8,4
2026-05-29,메타광고,PC,107,13,5,3,1
2026-05-29,인스타,모바일,207,17,4,2,1
2026-05-29,인스타,PC,58,6,2,1,1
2026-05-29,뉴스레터,모바일,151,25,7,4,2
2026-05-29,뉴스레터,PC,43,8,3,2,1
2026-05-30,자연검색,모바일,403,60,17,10,5
2026-05-30,자연검색,PC,100,13,5,3,1
2026-05-30,유료검색,모바일,544,66,19,10,5
2026-05-30,유료검색,PC,132,18,6,3,1
2026-05-30,메타광고,모바일,431,49,12,7,3
2026-05-30,메타광고,PC,124,14,5,3,2
2026-05-30,인스타,모바일,281,24,7,4,2
2026-05-30,인스타,PC,74,6,2,1,0
2026-05-30,뉴스레터,모바일,169,28,8,4,2
2026-05-30,뉴스레터,PC,49,9,3,2,1
2026-05-31,자연검색,모바일,446,69,19,10,5
2026-05-31,자연검색,PC,102,15,5,3,1
2026-05-31,유료검색,모바일,533,69,19,10,5
2026-05-31,유료검색,PC,135,17,6,3,1
2026-05-31,메타광고,모바일,500,55,15,9,4
2026-05-31,메타광고,PC,150,18,7,4,2
2026-05-31,인스타,모바일,263,24,6,3,1
2026-05-31,인스타,PC,69,6,2,1,0
2026-05-31,뉴스레터,모바일,161,30,8,4,2
2026-05-31,뉴스레터,PC,53,10,3,2,1
2026-06-01,자연검색,모바일,360,50,14,7,3
2026-06-01,자연검색,PC,92,14,5,3,1
2026-06-01,유료검색,모바일,487,60,14,8,4
2026-06-01,유료검색,PC,122,15,6,3,1
2026-06-01,메타광고,모바일,359,43,11,6,3
2026-06-01,메타광고,PC,130,14,5,3,2
2026-06-01,인스타,모바일,198,17,5,3,2
2026-06-01,인스타,PC,60,5,2,1,0
2026-06-01,뉴스레터,모바일,146,27,7,4,2
2026-06-01,뉴스레터,PC,42,8,3,2,1
2026-06-02,자연검색,모바일,324,44,13,8,4
2026-06-02,자연검색,PC,106,16,6,3,1
2026-06-02,유료검색,모바일,413,52,13,7,3
2026-06-02,유료검색,PC,134,18,7,4,2
2026-06-02,메타광고,모바일,456,52,13,8,4
2026-06-02,메타광고,PC,111,13,5,3,2
2026-06-02,인스타,모바일,214,19,5,3,2
2026-06-02,인스타,PC,56,5,2,1,0
2026-06-02,뉴스레터,모바일,175,30,8,4,2
2026-06-02,뉴스레터,PC,40,8,3,2,1
2026-06-03,자연검색,모바일,339,51,14,7,3
2026-06-03,자연검색,PC,107,14,5,3,1
2026-06-03,유료검색,모바일,417,48,11,6,3
2026-06-03,유료검색,PC,121,16,6,3,1
2026-06-03,메타광고,모바일,397,42,11,6,3
2026-06-03,메타광고,PC,121,13,5,3,2
2026-06-03,인스타,모바일,216,21,5,3,1
2026-06-03,인스타,PC,62,6,2,1,0
2026-06-03,뉴스레터,모바일,159,29,7,4,2
2026-06-03,뉴스레터,PC,46,9,3,2,1
2026-06-04,자연검색,모바일,381,52,13,7,3
2026-06-04,자연검색,PC,90,13,5,3,2
2026-06-04,유료검색,모바일,401,52,15,8,4
2026-06-04,유료검색,PC,129,16,5,3,2
2026-06-04,메타광고,모바일,424,44,12,6,3
2026-06-04,메타광고,PC,106,12,5,3,1
2026-06-04,인스타,모바일,238,21,5,3,2
2026-06-04,인스타,PC,65,5,2,1,0
2026-06-04,뉴스레터,모바일,173,31,9,5,2
2026-06-04,뉴스레터,PC,49,8,3,2,1
2026-06-05,자연검색,모바일,368,54,15,9,5
2026-06-05,자연검색,PC,97,13,5,3,1
2026-06-05,유료검색,모바일,486,57,15,8,4
2026-06-05,유료검색,PC,125,15,6,3,2
2026-06-05,메타광고,모바일,448,54,15,8,4
2026-06-05,메타광고,PC,117,14,5,3,2
2026-06-05,인스타,모바일,203,17,5,3,2
2026-06-05,인스타,PC,56,5,2,1,1
2026-06-05,뉴스레터,모바일,156,26,7,4,2
2026-06-05,뉴스레터,PC,50,10,4,2,1
2026-06-06,자연검색,모바일,368,54,15,9,5
2026-06-06,자연검색,PC,126,18,6,3,2
2026-06-06,유료검색,모바일,505,63,16,9,4
2026-06-06,유료검색,PC,160,20,7,4,2
2026-06-06,메타광고,모바일,472,53,13,7,3
2026-06-06,메타광고,PC,130,14,5,3,2
2026-06-06,인스타,모바일,260,24,7,4,2
2026-06-06,인스타,PC,75,6,2,1,1
2026-06-06,뉴스레터,모바일,181,30,8,4,2
2026-06-06,뉴스레터,PC,57,10,4,2,1
2026-06-07,자연검색,모바일,439,65,17,9,4
2026-06-07,자연검색,PC,116,18,6,3,2
2026-06-07,유료검색,모바일,525,69,20,11,6
2026-06-07,유료검색,PC,156,19,6,3,1
2026-06-07,메타광고,모바일,492,60,16,8,4
2026-06-07,메타광고,PC,120,14,5,3,2
2026-06-07,인스타,모바일,228,21,5,3,2
2026-06-07,인스타,PC,71,7,3,2,1
2026-06-07,뉴스레터,모바일,202,33,8,4,2
2026-06-07,뉴스레터,PC,55,9,3,2,1
2026-06-08,자연검색,모바일,360,52,14,8,4
2026-06-08,자연검색,PC,102,16,6,3,1
2026-06-08,유료검색,모바일,487,61,16,8,4
2026-06-08,유료검색,PC,131,15,5,3,1
2026-06-08,메타광고,모바일,408,49,14,8,4
2026-06-08,메타광고,PC,127,14,5,3,1
2026-06-08,인스타,모바일,204,18,4,2,1
2026-06-08,인스타,PC,59,5,2,1,0
2026-06-08,뉴스레터,모바일,173,30,8,5,2
2026-06-08,뉴스레터,PC,41,8,3,2,1
2026-06-09,자연검색,모바일,322,47,12,7,4
2026-06-09,자연검색,PC,86,13,5,3,1
2026-06-09,유료검색,모바일,462,58,16,9,4
2026-06-09,유료검색,PC,122,14,5,3,1
2026-06-09,메타광고,모바일,380,44,11,6,3
2026-06-09,메타광고,PC,111,13,5,3,2
2026-06-09,인스타,모바일,241,21,5,3,1
2026-06-09,인스타,PC,68,7,2,1,0
2026-06-09,뉴스레터,모바일,146,26,7,4,2
2026-06-09,뉴스레터,PC,46,8,3,2,1
2026-06-10,자연검색,모바일,330,47,12,7,3
2026-06-10,자연검색,PC,85,12,4,2,1
2026-06-10,유료검색,모바일,479,64,17,10,5
2026-06-10,유료검색,PC,134,16,6,3,2
2026-06-10,메타광고,모바일,365,43,12,7,4
2026-06-10,메타광고,PC,104,12,4,2,1
2026-06-10,인스타,모바일,249,23,6,3,2
2026-06-10,인스타,PC,64,6,2,1,1
2026-06-10,뉴스레터,모바일,174,33,9,5,2
2026-06-10,뉴스레터,PC,46,8,3,2,1
2026-06-11,자연검색,모바일,331,44,12,7,4
2026-06-11,자연검색,PC,105,15,6,3,2
2026-06-11,유료검색,모바일,401,53,15,8,4
2026-06-11,유료검색,PC,136,16,6,3,2
2026-06-11,메타광고,모바일,401,47,12,6,3
2026-06-11,메타광고,PC,123,13,5,3,1
2026-06-11,인스타,모바일,229,20,5,3,1
2026-06-11,인스타,PC,58,5,2,1,0
2026-06-11,뉴스레터,모바일,142,27,7,4,2
2026-06-11,뉴스레터,PC,45,8,3,2,1
2026-06-12,자연검색,모바일,389,55,16,9,4
2026-06-12,자연검색,PC,102,14,5,3,2
2026-06-12,유료검색,모바일,431,54,15,9,5
2026-06-12,유료검색,PC,126,15,5,3,1
2026-06-12,메타광고,모바일,453,55,16,9,4
2026-06-12,메타광고,PC,115,12,5,3,1
2026-06-12,인스타,모바일,230,21,5,3,1
2026-06-12,인스타,PC,62,6,2,1,0
2026-06-12,뉴스레터,모바일,159,27,8,4,2
2026-06-12,뉴스레터,PC,46,8,3,2,1
2026-06-13,자연검색,모바일,383,53,14,8,4
2026-06-13,자연검색,PC,124,17,6,3,2
2026-06-13,유료검색,모바일,530,63,16,9,5
2026-06-13,유료검색,PC,153,20,8,4,2
2026-06-13,메타광고,모바일,471,51,15,9,5
2026-06-13,메타광고,PC,145,17,6,3,1
2026-06-13,인스타,모바일,271,24,7,4,2
2026-06-13,인스타,PC,66,6,2,1,0
2026-06-13,뉴스레터,모바일,185,31,8,4,2
2026-06-13,뉴스레터,PC,55,9,3,2,1
2026-06-14,자연검색,모바일,439,63,16,9,4
2026-06-14,자연검색,PC,101,15,5,3,1
2026-06-14,유료검색,모바일,567,70,18,10,5
2026-06-14,유료검색,PC,134,17,6,3,1
2026-06-14,메타광고,모바일,461,54,14,7,3
2026-06-14,메타광고,PC,138,15,6,4,2
2026-06-14,인스타,모바일,286,26,7,4,2
2026-06-14,인스타,PC,78,7,3,2,1
2026-06-14,뉴스레터,모바일,189,33,9,5,2
2026-06-14,뉴스레터,PC,47,8,3,2,1
2026-06-15,자연검색,모바일,376,56,15,8,4
2026-06-15,자연검색,PC,100,15,5,3,1
2026-06-15,유료검색,모바일,426,50,14,8,4
2026-06-15,유료검색,PC,137,17,7,4,2
2026-06-15,메타광고,모바일,371,41,12,7,3
2026-06-15,메타광고,PC,116,12,4,2,1
2026-06-15,인스타,모바일,200,17,5,3,1
2026-06-15,인스타,PC,55,5,2,1,1
2026-06-15,뉴스레터,모바일,141,26,7,4,2
2026-06-15,뉴스레터,PC,46,8,3,2,1
2026-06-16,자연검색,모바일,368,56,14,8,4
2026-06-16,자연검색,PC,92,13,4,2,1
2026-06-16,유료검색,모바일,472,60,15,9,4
2026-06-16,유료검색,PC,114,14,5,3,1
2026-06-16,메타광고,모바일,396,44,11,6,3
2026-06-16,메타광고,PC,119,14,5,3,1
2026-06-16,인스타,모바일,207,20,6,3,1
2026-06-16,인스타,PC,55,5,2,1,0
2026-06-16,뉴스레터,모바일,174,33,9,5,3
2026-06-16,뉴스레터,PC,49,8,3,2,1
2026-06-17,자연검색,모바일,356,50,13,7,4
2026-06-17,자연검색,PC,87,12,5,3,1
2026-06-17,유료검색,모바일,413,50,14,8,4
2026-06-17,유료검색,PC,125,16,6,4,2
2026-06-17,메타광고,모바일,392,46,13,7,3
2026-06-17,메타광고,PC,122,14,5,3,2
2026-06-17,인스타,모바일,231,21,5,3,2
2026-06-17,인스타,PC,63,6,2,1,1
2026-06-17,뉴스레터,모바일,171,28,8,4,2
2026-06-17,뉴스레터,PC,44,8,3,2,1
2026-06-18,자연검색,모바일,319,45,11,6,3
2026-06-18,자연검색,PC,95,13,4,2,1
2026-06-18,유료검색,모바일,404,52,14,8,4
2026-06-18,유료검색,PC,112,14,5,3,1
2026-06-18,메타광고,모바일,451,53,14,7,3
2026-06-18,메타광고,PC,118,13,5,3,1
2026-06-18,인스타,모바일,214,21,5,3,1
2026-06-18,인스타,PC,69,6,2,1,1
2026-06-18,뉴스레터,모바일,154,29,8,4,2
2026-06-18,뉴스레터,PC,47,8,3,2,1
2026-06-19,자연검색,모바일,387,53,14,8,4
2026-06-19,자연검색,PC,107,15,5,3,2
2026-06-19,유료검색,모바일,451,56,16,9,4
2026-06-19,유료검색,PC,109,15,5,3,1
2026-06-19,메타광고,모바일,438,48,13,7,4
2026-06-19,메타광고,PC,123,13,5,3,1
2026-06-19,인스타,모바일,222,21,5,3,1
2026-06-19,인스타,PC,66,6,2,1,1
2026-06-19,뉴스레터,모바일,151,29,7,4,2
2026-06-19,뉴스레터,PC,49,8,3,2,1
2026-06-20,자연검색,모바일,438,61,16,9,4
2026-06-20,자연검색,PC,100,13,4,2,1
2026-06-20,유료검색,모바일,560,72,19,10,5
2026-06-20,유료검색,PC,159,20,8,4,2
2026-06-20,메타광고,모바일,497,57,14,8,4
2026-06-20,메타광고,PC,119,14,5,3,1
2026-06-20,인스타,모바일,260,22,6,3,2
2026-06-20,인스타,PC,68,6,2,1,0
2026-06-20,뉴스레터,모바일,201,38,10,6,3
2026-06-20,뉴스레터,PC,45,8,3,2,1
2026-06-21,자연검색,모바일,427,62,16,9,4
2026-06-21,자연검색,PC,103,14,5,3,1
2026-06-21,유료검색,모바일,456,54,15,8,4
2026-06-21,유료검색,PC,139,16,6,3,1
2026-06-21,메타광고,모바일,430,50,14,8,4
2026-06-21,메타광고,PC,138,15,5,3,2
2026-06-21,인스타,모바일,249,23,6,3,1
2026-06-21,인스타,PC,66,6,2,1,1
2026-06-21,뉴스레터,모바일,201,34,9,5,2
2026-06-21,뉴스레터,PC,49,9,3,2,1
2026-06-22,자연검색,모바일,323,49,13,7,4
2026-06-22,자연검색,PC,97,13,5,3,1
2026-06-22,유료검색,모바일,392,47,12,7,3
2026-06-22,유료검색,PC,134,15,5,3,2
2026-06-22,메타광고,모바일,437,46,12,6,3
2026-06-22,메타광고,PC,101,12,4,2,1
2026-06-22,인스타,모바일,202,17,5,3,2
2026-06-22,인스타,PC,62,6,2,1,1
2026-06-22,뉴스레터,모바일,144,24,6,3,1
2026-06-22,뉴스레터,PC,49,9,3,2,1
2026-06-23,자연검색,모바일,320,46,13,7,4
2026-06-23,자연검색,PC,110,16,6,3,2
2026-06-23,유료검색,모바일,425,49,13,7,3
2026-06-23,유료검색,PC,123,15,6,3,1
2026-06-23,메타광고,모바일,391,46,11,6,3
2026-06-23,메타광고,PC,120,14,5,3,1
2026-06-23,인스타,모바일,213,19,5,3,1
2026-06-23,인스타,PC,68,6,2,1,1
2026-06-23,뉴스레터,모바일,161,30,8,4,2
2026-06-23,뉴스레터,PC,43,8,3,2,1
2026-06-24,자연검색,모바일,304,46,13,7,3
2026-06-24,자연검색,PC,92,12,4,2,1
