날짜,상품,판매수량,매출,재고,아이템위너,취소율(%),전환율(%),노출수
2026-08-10,수분 세럼,46,1794000,478,Y,1.6,2.46,2279
2026-08-10,진정 크림,32,1344000,363,Y,1.5,2.24,1411
2026-08-10,클렌징 밤,10,280000,294,N,3.4,1.15,1449
2026-08-11,수분 세럼,41,1599000,437,Y,3.0,2.41,2100
2026-08-11,진정 크림,30,1260000,333,Y,1.3,1.8,1669
2026-08-11,클렌징 밤,11,308000,283,N,3.5,1.01,1008
2026-08-12,수분 세럼,47,1833000,390,Y,2.1,2.77,2423
2026-08-12,진정 크림,27,1134000,306,Y,1.3,2.41,1952
2026-08-12,클렌징 밤,9,252000,274,N,3.8,1.33,1231
2026-08-13,수분 세럼,44,1716000,346,Y,1.5,3.11,2114
2026-08-13,진정 크림,27,1134000,279,Y,1.1,2.5,1480
2026-08-13,클렌징 밤,15,420000,259,N,3.5,1.25,1445
2026-08-14,수분 세럼,39,1521000,307,Y,1.8,2.57,2362
2026-08-14,진정 크림,26,1092000,253,Y,1.5,2.5,1833
2026-08-14,클렌징 밤,14,392000,245,N,3.9,1.2,1105
2026-08-15,수분 세럼,33,1287000,274,N,5.3,2.01,1782
2026-08-15,진정 크림,31,1302000,222,Y,2.6,2.16,1653
2026-08-15,클렌징 밤,14,392000,231,N,2.1,0.62,1467
2026-08-16,수분 세럼,32,1248000,242,N,5.7,1.21,2124
2026-08-16,진정 크림,34,1428000,188,Y,1.1,1.85,1432
2026-08-16,클렌징 밤,9,252000,222,N,2.7,1.01,1185
2026-08-17,수분 세럼,39,1521000,203,N,5.5,1.85,2140
2026-08-17,진정 크림,33,1386000,155,Y,2.0,1.99,1884
2026-08-17,클렌징 밤,9,252000,213,N,2.8,0.68,1341
2026-08-18,수분 세럼,34,1326000,169,N,5.3,1.76,2146
2026-08-18,진정 크림,24,1008000,131,Y,2.2,2.59,1500
2026-08-18,클렌징 밤,15,420000,198,N,2.8,0.87,1011
2026-08-19,수분 세럼,32,1248000,137,N,4.9,1.84,1543
2026-08-19,진정 크림,30,1260000,101,Y,1.3,2.17,1477
2026-08-19,클렌징 밤,12,336000,186,N,3.6,1.28,1000
2026-08-20,수분 세럼,29,1131000,108,N,5.8,1.85,1415
2026-08-20,진정 크림,25,1050000,76,Y,2.7,2.48,1570
2026-08-20,클렌징 밤,12,336000,174,N,3.0,0.77,1310
2026-08-21,수분 세럼,29,1131000,79,N,4.8,1.2,1799
2026-08-21,진정 크림,28,1176000,48,Y,2.7,2.43,1692
2026-08-21,클렌징 밤,12,336000,162,N,3.4,1.18,1469
2026-08-22,수분 세럼,39,1521000,40,N,5.9,1.39,1703
2026-08-22,진정 크림,27,1134000,21,Y,2.7,2.26,1955
2026-08-22,클렌징 밤,15,420000,147,N,3.5,0.65,1498
2026-08-23,수분 세럼,36,1404000,4,N,5.5,2.22,1561
2026-08-23,진정 크림,24,1008000,0,Y,2.7,1.86,1590
2026-08-23,클렌징 밤,15,420000,132,N,3.2,1.14,1140
2026-08-24,수분 세럼,35,1365000,0,N,4.7,2.27,1652
2026-08-24,진정 크림,33,1386000,0,Y,2.1,2.3,1829
2026-08-24,클렌징 밤,10,280000,122,N,3.2,1.02,1167
2026-08-25,수분 세럼,32,1248000,0,N,5.8,1.58,1671
2026-08-25,진정 크림,30,1260000,0,Y,1.2,2.32,1868
2026-08-25,클렌징 밤,13,364000,109,N,3.9,1.35,909
2026-08-26,수분 세럼,36,1404000,0,N,5.7,1.88,1502
2026-08-26,진정 크림,25,1050000,0,Y,2.0,2.2,1535
2026-08-26,클렌징 밤,13,364000,96,N,3.8,1.3,1278
2026-08-27,수분 세럼,33,1287000,0,N,4.8,2.2,2120
2026-08-27,진정 크림,28,1176000,0,Y,2.1,2.59,1941
2026-08-27,클렌징 밤,15,420000,81,N,3.3,1.04,1006
2026-08-28,수분 세럼,31,1209000,0,N,5.0,2.27,2160
2026-08-28,진정 크림,32,1344000,0,Y,1.3,2.03,1615
2026-08-28,클렌징 밤,10,280000,71,N,2.7,1.15,1170
2026-08-29,수분 세럼,37,1443000,0,N,5.5,2.29,1452
2026-08-29,진정 크림,25,1050000,0,Y,2.1,2.46,1445
2026-08-29,클렌징 밤,15,420000,56,N,2.7,0.7,1168
2026-08-30,수분 세럼,31,1209000,0,N,6.0,1.86,1837
2026-08-30,진정 크림,32,1344000,0,Y,1.0,1.86,1552
2026-08-30,클렌징 밤,11,308000,45,N,2.1,0.9,1465
