고객ID,최근성(일),빈도(회),금액(원),R,F,M,RFM,세그먼트
CUS-****152,16,5,344300,5,4,5,545,챔피언
CUS-****007,17,7,1097100,5,5,5,555,챔피언
CUS-****009,17,7,936000,5,5,5,555,챔피언
CUS-****014,17,6,708800,5,5,5,555,챔피언
CUS-****093,17,5,675200,5,4,5,545,챔피언
CUS-****196,17,5,338100,5,4,5,545,챔피언
CUS-****047,18,7,1041900,5,5,5,555,챔피언
CUS-****127,18,6,524300,5,5,5,555,챔피언
CUS-****151,18,5,475700,5,4,5,545,챔피언
CUS-****044,19,8,952700,5,5,5,555,챔피언
CUS-****066,19,7,773800,5,5,5,555,챔피언
CUS-****017,19,6,631300,5,5,5,555,챔피언
CUS-****038,19,5,613900,5,4,5,545,챔피언
CUS-****104,19,6,601600,5,5,5,555,챔피언
CUS-****049,20,6,1007400,5,5,5,555,챔피언
CUS-****039,20,6,928500,5,5,5,555,챔피언
CUS-****072,20,6,883300,5,5,5,555,챔피언
CUS-****117,20,5,593600,5,4,5,545,챔피언
CUS-****100,20,6,541300,5,5,5,555,챔피언
CUS-****165,20,5,432400,5,4,5,545,챔피언
CUS-****020,21,7,1011300,5,5,5,555,챔피언
CUS-****027,21,7,1001800,5,5,5,555,챔피언
CUS-****178,21,6,775400,5,5,5,555,챔피언
CUS-****015,21,7,753100,5,5,5,555,챔피언
CUS-****021,21,6,711600,5,5,5,555,챔피언
CUS-****030,21,7,690800,5,5,5,555,챔피언
CUS-****045,22,8,1036200,5,5,5,555,챔피언
CUS-****060,22,7,779500,5,5,5,555,챔피언
CUS-****046,22,7,582800,5,5,5,555,챔피언
CUS-****003,23,6,745600,5,5,5,555,챔피언
CUS-****037,23,7,737600,5,5,5,555,챔피언
CUS-****069,23,6,689400,5,5,5,555,챔피언
CUS-****098,23,6,660600,5,5,5,555,챔피언
CUS-****209,23,5,395400,5,4,5,545,챔피언
CUS-****032,24,8,1185900,5,5,5,555,챔피언
CUS-****059,24,6,834900,5,5,5,555,챔피언
CUS-****068,24,8,711600,5,5,5,555,챔피언
CUS-****041,24,7,600300,5,5,5,555,챔피언
CUS-****132,27,6,550500,5,5,5,555,챔피언
CUS-****181,27,6,466900,5,5,5,555,챔피언
CUS-****078,27,6,438900,5,5,5,555,챔피언
CUS-****134,27,5,428400,5,4,5,545,챔피언
CUS-****109,29,5,434700,5,4,5,545,챔피언
CUS-****120,29,5,293300,5,4,5,545,챔피언
CUS-****135,30,6,639900,5,5,5,555,챔피언
CUS-****122,4,4,269500,5,4,5,545,충성
CUS-****085,7,4,454700,5,4,5,545,충성
CUS-****086,8,4,496600,5,4,5,545,충성
CUS-****174,8,4,279500,5,4,5,545,충성
CUS-****398,9,3,263500,5,3,5,535,충성
CUS-****169,10,4,561000,5,4,5,545,충성
CUS-****099,10,4,343600,5,4,5,545,충성
CUS-****248,10,3,165500,5,3,4,534,충성
CUS-****326,10,3,103600,5,3,3,533,충성
CUS-****097,11,4,364100,5,4,5,545,충성
CUS-****273,11,3,286700,5,3,5,535,충성
CUS-****219,11,3,223500,5,3,4,534,충성
CUS-****246,11,3,137200,5,3,3,533,충성
CUS-****294,12,3,218800,5,3,4,534,충성
CUS-****204,13,4,552500,5,4,5,545,충성
CUS-****287,13,3,345000,5,3,5,535,충성
CUS-****340,13,3,204500,5,3,4,534,충성
CUS-****454,13,3,190200,5,3,4,534,충성
CUS-****393,13,3,139400,5,3,3,533,충성
CUS-****108,14,4,320300,5,4,5,545,충성
CUS-****234,14,3,149800,5,3,3,533,충성
CUS-****106,16,4,419800,5,4,5,545,충성
CUS-****369,16,3,330300,5,3,5,535,충성
CUS-****191,17,4,383300,5,4,5,545,충성
CUS-****116,18,4,386400,5,4,5,545,충성
CUS-****282,18,3,288000,5,3,5,535,충성
CUS-****223,18,3,229400,5,3,4,534,충성
CUS-****408,18,3,210500,5,3,4,534,충성
CUS-****327,19,3,329400,5,3,5,535,충성
CUS-****153,20,4,290100,5,4,5,545,충성
CUS-****415,20,3,155100,5,3,4,534,충성
CUS-****244,21,3,349200,5,3,5,535,충성
CUS-****128,21,4,285300,5,4,5,545,충성
CUS-****105,22,4,548400,5,4,5,545,충성
CUS-****306,22,3,131600,5,3,3,533,충성
CUS-****274,23,3,160500,5,3,4,534,충성
CUS-****235,24,3,252400,5,3,5,535,충성
CUS-****332,25,3,396100,5,3,5,535,충성
CUS-****084,25,4,389400,5,4,5,545,충성
CUS-****074,26,4,289800,5,4,5,545,충성
CUS-****410,26,3,196800,5,3,4,534,충성
CUS-****188,26,4,158100,5,4,4,544,충성
CUS-****175,27,4,439200,5,4,5,545,충성
CUS-****249,27,3,328500,5,3,5,535,충성
CUS-****217,27,3,121300,5,3,3,533,충성
CUS-****355,28,3,297600,5,3,5,535,충성
CUS-****167,28,4,274100,5,4,5,545,충성
CUS-****382,29,3,248900,5,3,4,534,충성
CUS-****451,30,3,302900,5,3,5,535,충성
CUS-****295,30,3,241300,5,3,4,534,충성
CUS-****137,30,4,225500,5,4,4,544,충성
CUS-****232,30,3,223400,5,3,4,534,충성
CUS-****370,30,3,215300,5,3,4,534,충성
CUS-****293,30,3,129800,5,3,3,533,충성
CUS-****103,31,5,715200,4,4,5,445,충성
CUS-****156,31,5,542500,4,4,5,445,충성
CUS-****114,31,4,473400,4,4,5,445,충성
CUS-****173,31,4,218800,4,4,4,444,충성
CUS-****334,31,3,184700,4,3,4,434,충성
CUS-****160,32,6,772600,4,5,5,455,충성
CUS-****184,32,4,443100,4,4,5,445,충성
CUS-****126,32,4,249800,4,4,4,444,충성
CUS-****121,33,5,374300,4,4,5,445,충성
CUS-****079,33,5,362700,4,4,5,445,충성
CUS-****133,33,5,340400,4,4,5,445,충성
CUS-****446,33,3,270600,4,3,5,435,충성
CUS-****455,33,3,210800,4,3,4,434,충성
CUS-****343,33,3,114000,4,3,3,433,충성
CUS-****207,34,5,505100,4,4,5,445,충성
CUS-****338,34,3,351500,4,3,5,435,충성
CUS-****176,35,4,510600,4,4,5,445,충성
CUS-****194,35,4,238800,4,4,4,444,충성
CUS-****111,36,5,606200,4,4,5,445,충성
CUS-****158,36,5,403900,4,4,5,445,충성
CUS-****076,36,5,346000,4,4,5,445,충성
CUS-****082,36,4,266700,4,4,5,445,충성
CUS-****352,36,3,174400,4,3,4,434,충성
CUS-****107,37,6,378300,4,5,5,455,충성
CUS-****123,37,4,218500,4,4,4,444,충성
CUS-****193,38,6,761200,4,5,5,455,충성
CUS-****102,38,6,533800,4,5,5,455,충성
CUS-****144,38,6,457800,4,5,5,455,충성
CUS-****177,38,5,354400,4,4,5,445,충성
CUS-****331,38,3,174600,4,3,4,434,충성
CUS-****179,40,6,826800,4,5,5,455,충성
CUS-****154,40,4,479600,4,4,5,445,충성
CUS-****161,40,4,460500,4,4,5,445,충성
CUS-****143,41,4,652500,4,4,5,445,충성
CUS-****148,41,5,449600,4,4,5,445,충성
CUS-****401,41,3,423100,4,3,5,435,충성
CUS-****365,41,3,274200,4,3,5,435,충성
CUS-****301,41,3,143800,4,3,3,433,충성
CUS-****192,42,6,553500,4,5,5,455,충성
CUS-****080,43,6,627500,4,5,5,455,충성
CUS-****166,43,5,406300,4,4,5,445,충성
CUS-****389,43,3,313000,4,3,5,435,충성
CUS-****397,43,3,245800,4,3,4,434,충성
CUS-****378,43,3,209800,4,3,4,434,충성
CUS-****257,43,3,208700,4,3,4,434,충성
CUS-****375,43,3,180900,4,3,4,434,충성
CUS-****189,44,5,293400,4,4,5,445,충성
CUS-****141,44,4,289400,4,4,5,445,충성
CUS-****341,44,3,258400,4,3,5,435,충성
CUS-****400,45,3,293400,4,3,5,435,충성
CUS-****110,45,4,289900,4,4,5,445,충성
CUS-****363,45,3,271400,4,3,5,435,충성
CUS-****139,45,4,260900,4,4,5,445,충성
CUS-****354,45,3,163700,4,3,4,434,충성
CUS-****208,46,6,653300,4,5,5,455,충성
CUS-****145,46,6,526700,4,5,5,455,충성
CUS-****206,46,4,481600,4,4,5,445,충성
CUS-****390,46,3,448900,4,3,5,435,충성
CUS-****130,46,4,376600,4,4,5,445,충성
CUS-****313,46,3,122800,4,3,3,433,충성
CUS-****075,47,6,654800,4,5,5,455,충성
CUS-****164,47,6,596400,4,5,5,455,충성
CUS-****162,47,4,455400,4,4,5,445,충성
CUS-****180,47,4,361300,4,4,5,445,충성
CUS-****092,47,5,355100,4,4,5,445,충성
CUS-****218,47,3,307400,4,3,5,435,충성
CUS-****230,47,3,170000,4,3,4,434,충성
CUS-****090,48,5,586000,4,4,5,445,충성
CUS-****146,48,5,434400,4,4,5,445,충성
CUS-****142,48,5,308500,4,4,5,445,충성
CUS-****185,48,4,272400,4,4,5,445,충성
CUS-****159,48,5,239400,4,4,4,444,충성
CUS-****351,49,3,204800,4,3,4,434,충성
CUS-****320,49,3,154400,4,3,4,434,충성
CUS-****329,49,3,153400,4,3,4,434,충성
CUS-****118,50,5,724400,4,4,5,445,충성
CUS-****083,50,4,421100,4,4,5,445,충성
CUS-****088,50,4,348400,4,4,5,445,충성
CUS-****399,50,3,182000,4,3,4,434,충성
CUS-****195,51,6,638600,4,5,5,455,충성
CUS-****077,51,4,468800,4,4,5,445,충성
CUS-****420,51,3,201300,4,3,4,434,충성
CUS-****200,52,4,554000,4,4,5,445,충성
CUS-****081,52,6,526900,4,5,5,455,충성
CUS-****087,52,6,497300,4,5,5,455,충성
CUS-****157,52,5,438400,4,4,5,445,충성
CUS-****163,53,5,507800,4,4,5,445,충성
CUS-****309,53,3,267200,4,3,5,435,충성
CUS-****186,54,5,455300,4,4,5,445,충성
CUS-****170,54,6,437400,4,5,5,455,충성
CUS-****140,54,4,180700,4,4,4,444,충성
CUS-****303,55,3,384700,4,3,5,435,충성
CUS-****349,56,3,235400,4,3,4,434,충성
CUS-****229,57,3,122700,4,3,3,433,충성
CUS-****289,57,3,118400,4,3,3,433,충성
CUS-****607,0,1,127700,5,1,3,513,관심 필요
CUS-****640,1,1,137200,5,1,3,513,관심 필요
CUS-****609,1,1,88800,5,1,2,512,관심 필요
CUS-****587,1,1,86000,5,1,2,512,관심 필요
CUS-****631,1,1,80000,5,1,2,512,관심 필요
CUS-****603,1,1,42100,5,1,1,511,관심 필요
CUS-****574,1,1,40000,5,1,1,511,관심 필요
CUS-****473,1,1,31400,5,1,1,511,관심 필요
CUS-****610,2,1,47300,5,1,1,511,관심 필요
CUS-****556,2,1,42700,5,1,1,511,관심 필요
CUS-****604,2,1,36800,5,1,1,511,관심 필요
CUS-****636,2,1,36000,5,1,1,511,관심 필요
CUS-****499,2,1,27700,5,1,1,511,관심 필요
CUS-****500,2,1,25600,5,1,1,511,관심 필요
CUS-****614,3,1,85700,5,1,2,512,관심 필요
CUS-****544,3,1,57200,5,1,1,511,관심 필요
CUS-****598,3,1,43200,5,1,1,511,관심 필요
CUS-****464,3,1,38000,5,1,1,511,관심 필요
CUS-****553,3,1,37100,5,1,1,511,관심 필요
CUS-****517,4,1,66400,5,1,2,512,관심 필요
CUS-****463,4,1,39600,5,1,1,511,관심 필요
CUS-****565,4,1,38100,5,1,1,511,관심 필요
CUS-****532,4,1,36700,5,1,1,511,관심 필요
CUS-****479,5,1,77600,5,1,2,512,관심 필요
CUS-****630,5,1,39300,5,1,1,511,관심 필요
CUS-****524,5,1,35800,5,1,1,511,관심 필요
CUS-****546,5,1,35100,5,1,1,511,관심 필요
CUS-****624,6,1,73600,5,1,2,512,관심 필요
CUS-****540,6,1,61900,5,1,2,512,관심 필요
CUS-****643,6,1,39400,5,1,1,511,관심 필요
CUS-****543,6,1,36400,5,1,1,511,관심 필요
CUS-****575,6,1,35700,5,1,1,511,관심 필요
CUS-****484,6,1,26600,5,1,1,511,관심 필요
CUS-****549,6,1,25300,5,1,1,511,관심 필요
CUS-****482,7,1,76400,5,1,2,512,관심 필요
CUS-****561,7,1,42000,5,1,1,511,관심 필요
CUS-****629,7,1,38500,5,1,1,511,관심 필요
CUS-****525,8,1,104800,5,1,3,513,관심 필요
CUS-****635,8,1,36900,5,1,1,511,관심 필요
CUS-****325,9,2,219700,5,2,4,524,관심 필요
CUS-****608,9,1,111300,5,1,3,513,관심 필요
CUS-****570,9,1,84000,5,1,2,512,관심 필요
CUS-****509,9,1,46300,5,1,1,511,관심 필요
CUS-****498,9,1,45000,5,1,1,511,관심 필요
CUS-****599,9,1,43600,5,1,1,511,관심 필요
CUS-****586,9,1,42200,5,1,1,511,관심 필요
CUS-****460,9,1,40700,5,1,1,511,관심 필요
CUS-****596,9,1,36700,5,1,1,511,관심 필요
CUS-****637,9,1,31600,5,1,1,511,관심 필요
CUS-****364,10,2,96400,5,2,2,522,관심 필요
CUS-****238,10,2,92100,5,2,2,522,관심 필요
CUS-****615,10,1,41500,5,1,1,511,관심 필요
CUS-****584,10,1,41100,5,1,1,511,관심 필요
CUS-****568,11,1,95800,5,1,2,512,관심 필요
CUS-****641,11,1,91400,5,1,2,512,관심 필요
CUS-****279,11,2,81100,5,2,2,522,관심 필요
CUS-****589,11,1,42900,5,1,1,511,관심 필요
CUS-****469,11,1,41100,5,1,1,511,관심 필요
CUS-****534,11,1,36700,5,1,1,511,관심 필요
CUS-****435,12,2,128200,5,2,3,523,관심 필요
CUS-****267,12,2,116600,5,2,3,523,관심 필요
CUS-****551,12,1,36000,5,1,1,511,관심 필요
CUS-****541,12,1,33700,5,1,1,511,관심 필요
CUS-****612,12,1,33700,5,1,1,511,관심 필요
CUS-****531,12,1,24500,5,1,1,511,관심 필요
CUS-****322,13,2,246800,5,2,4,524,관심 필요
CUS-****314,13,2,78900,5,2,2,522,관심 필요
CUS-****504,13,1,48000,5,1,1,511,관심 필요
CUS-****611,13,1,46600,5,1,1,511,관심 필요
CUS-****542,13,1,41100,5,1,1,511,관심 필요
CUS-****606,13,1,40400,5,1,1,511,관심 필요
CUS-****648,13,1,39300,5,1,1,511,관심 필요
CUS-****550,13,1,36600,5,1,1,511,관심 필요
CUS-****448,14,2,93300,5,2,2,522,관심 필요
CUS-****571,14,1,66000,5,1,2,512,관심 필요
CUS-****576,14,1,50100,5,1,1,511,관심 필요
CUS-****591,14,1,46300,5,1,1,511,관심 필요
CUS-****625,14,1,44400,5,1,1,511,관심 필요
CUS-****495,14,1,39100,5,1,1,511,관심 필요
CUS-****538,14,1,36600,5,1,1,511,관심 필요
CUS-****474,15,1,124300,5,1,3,513,관심 필요
CUS-****360,15,2,101300,5,2,3,523,관심 필요
CUS-****291,15,2,74200,5,2,2,522,관심 필요
CUS-****595,15,1,71700,5,1,2,512,관심 필요
CUS-****457,15,1,43500,5,1,1,511,관심 필요
CUS-****506,15,1,36400,5,1,1,511,관심 필요
CUS-****468,15,1,23600,5,1,1,511,관심 필요
CUS-****431,16,2,123600,5,2,3,523,관심 필요
CUS-****523,16,1,54300,5,1,1,511,관심 필요
CUS-****489,16,1,44700,5,1,1,511,관심 필요
CUS-****564,16,1,37500,5,1,1,511,관심 필요
CUS-****508,16,1,29200,5,1,1,511,관심 필요
CUS-****308,17,2,172200,5,2,4,524,관심 필요
CUS-****211,17,2,125700,5,2,3,523,관심 필요
CUS-****514,17,1,84300,5,1,2,512,관심 필요
CUS-****555,17,1,76600,5,1,2,512,관심 필요
CUS-****618,17,1,43300,5,1,1,511,관심 필요
CUS-****649,18,1,93200,5,1,2,512,관심 필요
CUS-****645,18,1,91400,5,1,2,512,관심 필요
CUS-****503,18,1,43800,5,1,1,511,관심 필요
CUS-****537,18,1,36900,5,1,1,511,관심 필요
CUS-****613,18,1,31300,5,1,1,511,관심 필요
CUS-****336,19,2,171300,5,2,4,524,관심 필요
CUS-****254,19,2,110900,5,2,3,523,관심 필요
CUS-****490,19,1,36600,5,1,1,511,관심 필요
CUS-****372,20,2,189600,5,2,4,524,관심 필요
CUS-****442,20,2,157300,5,2,4,524,관심 필요
CUS-****437,20,2,121800,5,2,3,523,관심 필요
CUS-****647,20,1,91100,5,1,2,512,관심 필요
CUS-****562,20,1,74400,5,1,2,512,관심 필요
CUS-****488,20,1,45300,5,1,1,511,관심 필요
CUS-****480,20,1,43400,5,1,1,511,관심 필요
CUS-****590,20,1,39700,5,1,1,511,관심 필요
CUS-****621,20,1,33200,5,1,1,511,관심 필요
CUS-****560,20,1,32600,5,1,1,511,관심 필요
CUS-****263,21,2,107100,5,2,3,523,관심 필요
CUS-****483,21,1,47100,5,1,1,511,관심 필요
CUS-****654,21,1,30000,5,1,1,511,관심 필요
CUS-****269,22,2,220300,5,2,4,524,관심 필요
CUS-****447,22,2,198500,5,2,4,524,관심 필요
CUS-****557,22,1,89000,5,1,2,512,관심 필요
CUS-****579,22,1,85200,5,1,2,512,관심 필요
CUS-****512,22,1,49300,5,1,1,511,관심 필요
CUS-****527,22,1,44200,5,1,1,511,관심 필요
CUS-****569,22,1,26300,5,1,1,511,관심 필요
CUS-****471,23,1,65400,5,1,2,512,관심 필요
CUS-****558,23,1,43000,5,1,1,511,관심 필요
CUS-****535,23,1,36900,5,1,1,511,관심 필요
CUS-****580,23,1,36400,5,1,1,511,관심 필요
CUS-****554,23,1,35200,5,1,1,511,관심 필요
CUS-****487,23,1,23400,5,1,1,511,관심 필요
CUS-****262,24,2,151300,5,2,4,524,관심 필요
CUS-****628,24,1,81900,5,1,2,512,관심 필요
CUS-****466,24,1,75500,5,1,2,512,관심 필요
CUS-****548,24,1,42000,5,1,1,511,관심 필요
CUS-****528,24,1,37200,5,1,1,511,관심 필요
CUS-****529,24,1,35700,5,1,1,511,관심 필요
CUS-****616,24,1,35100,5,1,1,511,관심 필요
CUS-****476,24,1,28700,5,1,1,511,관심 필요
CUS-****566,24,1,26700,5,1,1,511,관심 필요
CUS-****436,25,2,165700,5,2,4,524,관심 필요
CUS-****292,25,2,122700,5,2,3,523,관심 필요
CUS-****367,25,2,119700,5,2,3,523,관심 필요
CUS-****639,25,1,37900,5,1,1,511,관심 필요
CUS-****652,26,1,70000,5,1,2,512,관심 필요
CUS-****475,26,1,55400,5,1,1,511,관심 필요
CUS-****493,26,1,34600,5,1,1,511,관심 필요
CUS-****461,27,1,125800,5,1,3,513,관심 필요
CUS-****441,27,2,122600,5,2,3,523,관심 필요
CUS-****539,27,1,65600,5,1,2,512,관심 필요
CUS-****600,27,1,42000,5,1,1,511,관심 필요
CUS-****602,27,1,30000,5,1,1,511,관심 필요
CUS-****227,28,2,169300,5,2,4,524,관심 필요
CUS-****458,28,1,75700,5,1,2,512,관심 필요
CUS-****494,28,1,70700,5,1,2,512,관심 필요
CUS-****491,28,1,55300,5,1,1,511,관심 필요
CUS-****642,28,1,33200,5,1,1,511,관심 필요
CUS-****583,28,1,26000,5,1,1,511,관심 필요
CUS-****425,29,2,171500,5,2,4,524,관심 필요
CUS-****237,29,2,156200,5,2,4,524,관심 필요
CUS-****381,29,2,138200,5,2,3,523,관심 필요
CUS-****516,29,1,125200,5,1,3,513,관심 필요
CUS-****357,29,2,76800,5,2,2,522,관심 필요
CUS-****545,29,1,51100,5,1,1,511,관심 필요
CUS-****620,29,1,41000,5,1,1,511,관심 필요
CUS-****646,29,1,37700,5,1,1,511,관심 필요
CUS-****507,30,1,126500,5,1,3,513,관심 필요
CUS-****619,30,1,77000,5,1,2,512,관심 필요
CUS-****505,30,1,44500,5,1,1,511,관심 필요
CUS-****577,30,1,41100,5,1,1,511,관심 필요
CUS-****501,30,1,37800,5,1,1,511,관심 필요
CUS-****530,30,1,37400,5,1,1,511,관심 필요
CUS-****492,30,1,36000,5,1,1,511,관심 필요
CUS-****430,31,2,74800,4,2,2,422,관심 필요
CUS-****552,31,1,44400,4,1,1,411,관심 필요
CUS-****422,32,2,227700,4,2,4,424,관심 필요
CUS-****220,32,2,100000,4,2,3,423,관심 필요
CUS-****256,32,2,90000,4,2,2,422,관심 필요
CUS-****622,32,1,65900,4,1,2,412,관심 필요
CUS-****605,32,1,52100,4,1,1,411,관심 필요
CUS-****567,32,1,48200,4,1,1,411,관심 필요
CUS-****519,32,1,35600,4,1,1,411,관심 필요
CUS-****588,32,1,35400,4,1,1,411,관심 필요
CUS-****386,33,2,114000,4,2,3,423,관심 필요
CUS-****581,33,1,82200,4,1,2,412,관심 필요
CUS-****572,33,1,81100,4,1,2,412,관심 필요
CUS-****573,33,1,26500,4,1,1,411,관심 필요
CUS-****383,34,2,91200,4,2,2,422,관심 필요
CUS-****633,34,1,45200,4,1,1,411,관심 필요
CUS-****459,34,1,42800,4,1,1,411,관심 필요
CUS-****627,34,1,37200,4,1,1,411,관심 필요
CUS-****522,34,1,32100,4,1,1,411,관심 필요
CUS-****594,34,1,31600,4,1,1,411,관심 필요
CUS-****445,35,2,226800,4,2,4,424,관심 필요
CUS-****258,35,2,93400,4,2,2,422,관심 필요
CUS-****563,35,1,47800,4,1,1,411,관심 필요
CUS-****578,35,1,44400,4,1,1,411,관심 필요
CUS-****526,35,1,39900,4,1,1,411,관심 필요
CUS-****477,35,1,39400,4,1,1,411,관심 필요
CUS-****521,35,1,39300,4,1,1,411,관심 필요
CUS-****518,36,1,89000,4,1,2,412,관심 필요
CUS-****510,37,1,64800,4,1,2,412,관심 필요
CUS-****653,37,1,36200,4,1,1,411,관심 필요
CUS-****251,38,2,144200,4,2,3,423,관심 필요
CUS-****366,38,2,126900,4,2,3,423,관심 필요
CUS-****634,38,1,63800,4,1,2,412,관심 필요
CUS-****626,38,1,47200,4,1,1,411,관심 필요
CUS-****515,38,1,41500,4,1,1,411,관심 필요
CUS-****520,39,1,132100,4,1,3,413,관심 필요
CUS-****485,39,1,124700,4,1,3,413,관심 필요
CUS-****547,39,1,95800,4,1,2,412,관심 필요
CUS-****502,39,1,94400,4,1,2,412,관심 필요
CUS-****419,39,2,82400,4,2,2,422,관심 필요
CUS-****632,39,1,75500,4,1,2,412,관심 필요
CUS-****486,39,1,66400,4,1,2,412,관심 필요
CUS-****513,39,1,47300,4,1,1,411,관심 필요
CUS-****511,39,1,38300,4,1,1,411,관심 필요
CUS-****288,40,2,163400,4,2,4,424,관심 필요
CUS-****225,40,2,139800,4,2,3,423,관심 필요
CUS-****240,40,2,136600,4,2,3,423,관심 필요
CUS-****496,40,1,122500,4,1,3,413,관심 필요
CUS-****462,40,1,66900,4,1,2,412,관심 필요
CUS-****478,40,1,52100,4,1,1,411,관심 필요
CUS-****467,40,1,45800,4,1,1,411,관심 필요
CUS-****585,40,1,28100,4,1,1,411,관심 필요
CUS-****277,41,2,136600,4,2,3,423,관심 필요
CUS-****601,41,1,48200,4,1,1,411,관심 필요
CUS-****533,41,1,40500,4,1,1,411,관심 필요
CUS-****638,41,1,34900,4,1,1,411,관심 필요
CUS-****597,42,1,86100,4,1,2,412,관심 필요
CUS-****582,42,1,56300,4,1,1,411,관심 필요
CUS-****472,42,1,43100,4,1,1,411,관심 필요
CUS-****470,42,1,26900,4,1,1,411,관심 필요
CUS-****283,43,2,103600,4,2,3,423,관심 필요
CUS-****593,43,1,73500,4,1,2,412,관심 필요
CUS-****592,43,1,37000,4,1,1,411,관심 필요
CUS-****481,43,1,26400,4,1,1,411,관심 필요
CUS-****247,44,2,226500,4,2,4,424,관심 필요
CUS-****617,44,1,73100,4,1,2,412,관심 필요
CUS-****559,44,1,71400,4,1,2,412,관심 필요
CUS-****394,44,2,71300,4,2,2,422,관심 필요
